input,time1,time2,time3,time4,time5
1000,858,1389,860,864,861
2000,5171,2826,3080,2837,2844
3000,6395,6307,10710,6412,10689
4000,20118,10989,11008,10936,10917
5000,30950,16415,16732,16432,16403
6000,23799,23920,23841,23871,44477
7000,60097,32451,32349,32219,32643
8000,43019,43150,74412,43837,43901
9000,55184,94234,51879,54518,53311
10000,68196,67133,120322,65400,124863
