input,thread,time1,time2,time3,time4,time5
1000,1,263,256,268,267,273
1000,2,247,251,229,234,224
1000,4,239,235,241,203,241
1000,8,259,255,252,260,258
1000,16,212,172,262,190,233
1000,32,193,183,194,195,176
1000,64,224,233,282,232,238
1000,128,382,704,495,432,513
2000,1,816,680,684,750,756
2000,2,778,993,1018,822,1050
2000,4,705,694,662,541,529
2000,8,328,329,319,305,250
2000,16,276,265,325,327,255
2000,32,216,268,237,231,242
2000,64,313,331,279,339,323
2000,128,1573,522,669,736,428
3000,1,1715,1713,1712,1727,1711
3000,2,1500,1162,1151,1199,1206
3000,4,750,757,986,872,907
3000,8,416,562,408,424,418
3000,16,338,327,309,466,313
3000,32,380,343,321,338,348
3000,64,397,416,450,445,401
3000,128,638,474,542,463,500
4000,1,2767,2823,2795,2821,2825
4000,2,2081,1806,1717,1967,1760
4000,4,1187,1413,1281,1132,1077
4000,8,734,890,631,612,928
4000,16,361,401,440,472,374
4000,32,421,387,476,424,389
4000,64,429,510,417,461,517
4000,128,761,1065,1048,681,562
5000,1,4009,4005,3966,3994,3975
5000,2,2252,2658,2213,2344,2227
5000,4,1710,1470,1652,1783,1460
5000,8,909,929,1179,936,842
5000,16,504,511,597,520,536
5000,32,517,498,491,465,537
5000,64,545,558,532,548,527
5000,128,856,601,714,1060,824
6000,1,5376,5416,5365,5400,5390
6000,2,2900,2523,3478,3031,2543
6000,4,2023,2061,1833,2138,2041
6000,8,774,1065,1091,1086,926
6000,16,823,696,1193,903,732
6000,32,596,605,524,563,516
6000,64,589,614,619,634,610
6000,128,806,1097,1086,742,1211
7000,1,6973,6925,6771,6775,6942
7000,2,3193,3571,3572,3996,3944
7000,4,2426,2484,2476,2460,2334
7000,8,1393,1351,1231,921,1326
7000,16,710,832,968,1029,1119
7000,32,608,617,755,757,749
7000,64,682,690,711,674,783
7000,128,842,883,859,2170,845
8000,1,8547,8558,8827,8563,8560
8000,2,3656,4379,4843,4787,5092
8000,4,2722,2868,2897,2933,2906
8000,8,1574,1574,1524,1687,1505
8000,16,990,903,999,927,1019
8000,32,731,826,745,804,737
8000,64,855,822,800,861,816
8000,128,885,975,982,1029,953
9000,1,11323,10018,11308,11348,10025
9000,2,5064,5540,5807,6382,6340
9000,4,3483,3334,3635,3701,3600
9000,8,1971,1887,2100,1847,1984
9000,16,1415,1208,904,1207,1224
9000,32,1041,1037,950,888,857
9000,64,920,1007,941,934,1073
9000,128,1462,1125,1614,1605,1084
10000,1,14166,14189,14098,14056,14175
10000,2,7858,7723,5475,7830,7426
10000,4,3491,4249,4296,4208,4354
10000,8,2301,2255,2189,1987,2108
10000,16,1186,1605,1444,1363,1314
10000,32,1201,990,1356,1002,1014
10000,64,1072,1345,988,1144,1008
10000,128,1212,1145,1651,1168,1400
