input,thread,time1,time2,time3,time4,time5
1000,1,1159,1256,1101,1761,5241
1000,2,2996,1962,1306,1124,1434
1000,4,1077,1194,1082,1837,1699
1000,8,857,1859,1317,1410,1180
1000,16,1322,1169,1716,1847,1786
1000,32,861,1949,1248,1380,1148
1000,64,1421,1044,1601,1224,965
1000,128,1221,1674,1316,1519,4834
2000,1,2346,1320,2570,1489,2019
2000,2,2035,1354,1974,1289,1808
2000,4,2657,2170,1892,1317,1572
2000,8,1707,1748,1466,1202,3867
2000,16,1746,1186,6593,1671,1431
2000,32,1576,2279,1310,1284,1692
2000,64,1364,1064,1376,1783,1152
2000,128,1014,4942,1831,1347,1336
3000,1,2265,5710,2289,2877,3230
3000,2,2979,2043,1928,2618,2653
3000,4,2098,2188,2070,2651,2316
3000,8,2242,2417,1952,2587,2534
3000,16,2876,3445,2499,2116,2048
3000,32,1619,5454,2116,2614,3554
3000,64,2213,3464,12992,3215,2687
3000,128,3061,3352,2296,3342,2436
4000,1,3542,2935,3484,3390,2953
4000,2,3673,2893,2775,2575,2943
4000,4,4486,2789,3324,3027,3147
4000,8,2754,3002,3127,3073,3010
4000,16,2720,3801,3591,2483,3120
4000,32,3118,2695,3088,2793,2094
4000,64,3044,2257,2928,2453,3568
4000,128,2483,3156,3014,3100,2686
5000,1,4105,4041,4620,4288,4347
5000,2,3596,3554,4039,4809,4657
5000,4,4732,4886,3861,5133,4638
5000,8,4339,3717,4954,3814,4064
5000,16,4711,4299,4926,11026,4393
5000,32,3807,5842,6028,3999,4823
5000,64,4720,4319,4146,4920,4911
5000,128,4249,5085,3893,4200,3683
6000,1,5296,4578,6699,5274,5105
6000,2,6687,4374,5659,4588,5200
6000,4,4778,5669,4685,4775,7250
6000,8,5656,4690,5638,6942,5633
6000,16,5796,4145,5847,5621,3730
6000,32,6789,5662,5360,5996,5102
6000,64,6934,5360,6144,5433,5514
6000,128,5889,5690,6134,5913,7303
7000,1,7419,5779,5365,8558,6488
7000,2,8478,7862,6041,6904,6827
7000,4,5000,6503,7546,6803,7020
7000,8,3938,6158,6347,6112,6156
7000,16,5185,5014,7698,8804,6171
7000,32,5073,6647,4962,8685,7347
7000,64,5600,6368,7232,8845,8553
7000,128,5867,10503,5658,5075,5699
8000,1,5588,9047,5051,9441,6013
8000,2,7301,7734,7290,35300,5623
8000,4,7097,6940,6802,10791,7297
8000,8,7855,7225,7594,23865,6658
8000,16,4824,7368,8341,7186,7270
8000,32,6238,7963,10422,9699,7643
8000,64,6745,7971,8820,10446,5908
8000,128,6625,8640,9925,8346,7777
9000,1,29311,7959,8911,9220,50256
9000,2,13638,7981,8680,24131,9561
9000,4,44751,28707,11443,6340,17815
9000,8,6326,23643,25844,38447,10377
9000,16,5801,23954,10258,31783,12044
9000,32,8017,40193,9021,42807,8727
9000,64,37467,10037,38316,7897,23462
9000,128,35372,8315,33367,61709,19689
10000,1,11345,22595,41699,7133,10473
10000,2,52337,9612,10307,19369,11806
10000,4,32652,9539,11639,41322,15653
10000,8,13450,14820,76376,12326,25584
10000,16,71261,9119,11826,24118,10759
10000,32,12211,42476,54360,21591,10625
10000,64,11044,26663,68703,10744,11727
10000,128,12817,10019,38823,25417,52115
