input,time_taken
1000,377
377
376
377
377
2000,1152
1175
1175
1175
1176
3000,2498
2497
2473
2488
2496
4000,4343
4342
4342
4324
4341
5000,6717
6718
6720
6717
6716
6000,9617
9624
9618
9617
9616
7000,13044
13043
13036
13047
13043
8000,17003
16995
17004
16687
17005
9000,21478
21485
21483
21481
21484
10000,26491
26501
26514
26532
26496
