no threads 1 no hash bits 1 time:2.689742
no threads 1 no hash bits 1 time:2.692805
no threads 1 no hash bits 2 time:2.692839
no threads 1 no hash bits 2 time:2.689511
no threads 1 no hash bits 3 time:2.704601
no threads 1 no hash bits 3 time:2.695914
no threads 1 no hash bits 4 time:2.695505
no threads 1 no hash bits 4 time:2.692303
no threads 1 no hash bits 5 time:2.692677
no threads 1 no hash bits 5 time:2.694229
no threads 1 no hash bits 6 time:2.843504
1,1,2.694933
1,1,2.690555
1,2,2.690464
1,2,2.691805
1,3,2.693659
1,3,2.691694
1,4,2.690733
1,4,2.692332
1,5,2.693418
1,5,2.690343
1,6,2.739691
1,6,2.738430
1,7,2.736250
1,7,2.733259
1,8,2.684558
1,8,2.678071
1,9,2.667332
1,9,2.670032
1,10,2.693410
1,10,2.693850
1,11,2.740206
1,11,2.741588
1,12,2.809318
1,12,2.805746
1,13,2.904005
1,13,2.895728
1,14,2.998375
1,14,3.002145
1,15,3.146465
1,15,3.154451
1,16,3.257539
1,16,3.261016
1,17,3.373103
1,17,3.367296
1,18,3.905591
1,18,3.886240
2,1,2.927013
2,1,2.959509
2,2,2.967318
2,2,2.962188
2,3,2.865405
2,3,2.785809
2,4,2.596128
2,4,2.608282
2,5,2.408521
2,5,2.421075
2,6,2.383258
2,6,2.388908
2,7,2.408933
2,7,2.401139
2,8,2.245945
2,8,2.246774
2,9,2.208924
2,9,2.212229
2,10,2.188366
2,10,1.582466
2,11,2.221010
2,11,2.210654
2,12,2.246818
2,12,2.255779
2,13,2.330568
2,13,2.306327
2,14,2.352314
2,14,2.362167
2,15,2.423402
2,15,2.414695
2,16,2.453896
2,16,2.448081
2,17,2.432224
2,17,2.432861
2,18,2.623118
2,18,2.612659
4,1,1.859224
4,1,1.946940
4,2,2.201428
4,2,2.191471
4,3,1.740218
4,3,1.776957
4,4,1.557421
4,4,1.560514
4,5,1.403262
4,5,1.429949
4,6,1.320484
4,6,1.324052
4,7,1.280773
4,7,1.279421
4,8,1.191602
4,8,1.189583
4,9,1.147332
4,9,1.130375
4,10,1.139351
4,10,1.144380
4,11,1.147871
4,11,1.149768
4,12,1.154026
4,12,1.160333
4,13,1.173890
4,13,1.176639
4,14,1.195077
4,14,1.197914
4,15,1.208756
4,15,1.213546
4,16,1.189084
4,16,1.182912
4,17,1.174785
