1000,16,8080080,60784,25156
1000,32,9145104,72016,25172
2000,1,7081620,51800,25244
2000,1,7081620,53776,25284
2000,1,7081620,54652,25084
2000,1,7081620,52460,25144
2000,1,7015056,56264,25292
2000,2,7148184,56072,25072
2000,2,7148184,58192,25088
2000,2,7214748,59044,25124
2000,2,7148184,58444,25144
2000,2,7148184,58240,25080
2000,4,7281312,56584,25172
2000,16,8146644,70604,25216
2000,16,8146644,77268,25236
2000,32,9211668,82060,25120
2000,32,9211668,82792,25184
2000,32,9145104,69100,25120
2000,32,9212380,81804,25296
2000,32,9212392,80144,25208
3000,1,7081620,53528,25356
3000,1,7015056,53108,25080
3000,1,7081620,51892,25108
3000,1,7081620,53172,25308
3000,1,7015056,51852,25228
3000,2,7148184,56560,25272
3000,2,7148184,56356,25148
3000,2,7148184,56172,25180
3000,2,7148184,56192,25048
3000,2,7148184,56440,25244
3000,4,7347876,58856,25160
3000,4,7347876,62128,25244
3000,4,7347876,56916,25292
3000,4,7347876,58856,25108
3000,4,7481004,59592,25148
3000,8,7680696,65444,25168
3000,8,7614132,63308,25224
3000,8,7614132,65392,25292
3000,8,7614132,60544,25148
3000,8,7680696,61668,25236
3000,16,8080080,63436,25160
3000,16,8080080,67120,25016
3000,16,8080080,63580,25236
3000,16,8080080,63556,25204
3000,16,8146644,66964,25268
3000,32,9145104,70172,25104
3000,32,9145104,72516,25000
3000,32,9145104,71356,25148
3000,32,9213044,74296,25248
3000,32,9212388,79264,25140
4000,1,7081620,55088,24912
4000,1,7148184,55560,25108
4000,1,7081620,56068,25244
4000,1,7081620,55900,25080
4000,1,7015056,51808,25208
4000,2,7281312,63984,25216
4000,2,7281312,58024,25356
4000,2,7281312,57732,25228
4000,2,7281312,61120,25208
4000,2,7148184,54084,25028
4000,4,7347876,56800,24924
4000,4,7347876,56704,25360
4000,4,7347876,60416,25228
4000,4,7481004,60140,25164
4000,4,7414440,59704,25168
4000,8,7614132,60676,25228
4000,8,7680696,63860,25152
4000,8,7614132,62560,25228
4000,8,7547568,57232,25248
4000,8,7813824,63796,25232
4000,16,8080080,64936,25224
4000,16,8146644,64576,25184
4000,16,8146644,59544,25200
4000,16,8080080,62988,25172
4000,16,8080080,63112,25156
4000,32,9211668,69120,25268
4000,32,9145104,67272,25148
4000,32,9145104,72752,25248
4000,32,9145104,67480,25200
4000,32,9211668,74692,25220
5000,1,7081620,57892,25144
5000,1,7148184,62672,25120
5000,1,7148184,62044,25216
5000,1,7148184,63408,25348
5000,1,7081620,53400,25356
5000,2,7281312,56368,25188
5000,2,7281312,55980,25188
5000,2,7281312,54796,25068
5000,2,7148184,54348,25052
5000,2,7214748,56312,25232
5000,4,7414440,60216,25164
5000,4,7347876,56520,25140
5000,4,7347876,54496,25096
5000,4,7414440,57540,25168
5000,4,7414440,56792,25092
5000,8,7547568,58072,25184
5000,8,7614132,59292,24988
5000,8,7680696,59728,25196
5000,8,7614132,57600,25180
5000,8,7680696,60948,25092
5000,16,8146644,61284,25212
5000,16,8080080,64076,25112
5000,16,8080080,62168,25048
5000,16,8080080,59952,25236
5000,16,8146644,61556,25080
5000,32,9211668,70884,25108
5000,32,9211668,70576,25348
