2000,6948492,47808,25292
2000,6948492,47436,25068
2000,6948492,47416,25108
2000,6948492,47120,24880
2000,6948492,47420,25104
3000,6948492,47600,25184
3000,6948492,47500,25184
3000,6948492,47368,25128
3000,6948492,47740,25232
3000,6948492,47608,25180
4000,6948492,47532,25292
4000,6948492,47280,25044
4000,6948492,47420,25068
4000,6948492,47740,25292
4000,6948492,47340,25092
5000,6948492,47396,25032
5000,6948492,47480,25244
5000,6948492,47516,25240
5000,6948492,47528,25144
5000,6948492,47372,25008
6000,6948492,47380,25140
6000,6948492,47520,25108
6000,6948492,47356,25104
6000,6948492,49372,25004
6000,6948492,47360,25032
7000,6948492,47176,24828
7000,6948492,47296,24940
7000,6948492,47516,25244
7000,6948492,47676,25292
7000,6948492,47212,24928
8000,6948492,47412,25032
8000,6948492,47576,25196
8000,6948492,47480,25004
8000,6948492,49696,25168
8000,6948492,47296,24940
8000,6948492,47460,25104
8000,6948492,47516,25188
8000,6948492,49824,25352
8000,6948492,47400,25020
8000,6948492,47400,25020
9000,6948492,47468,25120
9000,6948492,47468,25120
9000,6948492,47516,25128
9000,6948492,47680,25292
9000,6948492,47364,24996
9000,6948492,47364,24996
9000,6948492,47228,24996
9000,6948492,47392,25160
9000,6948492,47112,24884
9000,6948492,47276,25048
10000,6948492,47260,24984
10000,6948492,47424,25148
10000,6948492,47464,25020
10000,6948492,47592,25020
10000,6948492,47304,25056
10000,6948492,47468,25220
10000,6948492,49528,25220
10000,6948492,47372,24944
10000,6948492,47536,25108
10000,6948492,47260,25068
10000,6948492,47260,25068
