05-19 08:18:23,0,2500,1,46708008,19968
05-19 08:18:24,0,2500,1,46660524,66276
05-19 08:18:25,0,2500,1,46644144,81124
05-19 08:18:26,0,2500,1,46636688,91324
05-19 08:18:27,0,2500,1,46621480,104892
05-19 08:18:28,1,2500,1,46704720,16896
05-19 08:18:29,1,2500,1,46657256,66212
05-19 08:18:31,1,2500,1,46644596,81060
05-19 08:18:32,1,2500,1,46634088,90184
05-19 08:18:33,1,2500,1,46633364,104264
05-19 08:18:34,2,2500,1,46736008,16128
05-19 08:18:35,2,2500,1,46737108,64460
05-19 08:18:36,2,2500,1,46743628,78284
05-19 08:18:37,2,2500,1,46730872,88340
05-19 08:18:38,2,2500,1,46719044,101652
05-19 08:18:39,3,2500,1,46788856,16384
05-19 08:18:40,3,2500,1,46744448,66484
05-19 08:18:41,3,2500,1,46735828,81076
05-19 08:18:42,3,2500,1,46727112,91316
05-19 08:18:43,3,2500,1,46716324,105396
05-19 08:18:44,4,2500,1,46764712,16896
05-19 08:18:45,4,2500,1,46746148,65320
05-19 08:18:46,4,2500,1,46740476,80168
05-19 08:18:47,4,2500,1,46735848,89384
05-19 08:18:48,4,2500,1,46723424,102184
05-19 08:18:49,0,2500,2,46799376,16128
05-19 08:18:50,0,2500,2,46749680,70404
05-19 08:18:51,0,2500,2,46721928,94232
05-19 08:18:52,1,2500,2,46785936,16896
05-19 08:18:53,1,2500,2,46765808,67512
05-19 08:18:54,1,2500,2,46729096,92600
05-19 08:18:55,2,2500,2,46785856,16640
05-19 08:18:56,2,2500,2,46740796,75240
05-19 08:18:57,2,2500,2,46716640,98536
05-19 08:18:58,3,2500,2,46769168,16896
05-19 08:18:59,3,2500,2,46717288,71496
05-19 08:19:00,3,2500,2,46692104,94624
05-19 08:19:01,4,2500,2,46722948,17408
05-19 08:19:02,4,2500,2,46679396,74520
05-19 08:19:03,4,2500,2,46676404,98840
05-19 08:19:04,0,2500,4,46745772,16640
05-19 08:19:05,0,2500,4,46683272,87292
05-19 08:19:06,1,2500,4,46746684,15616
05-19 08:19:07,1,2500,4,46686624,87484
05-19 08:19:08,2,2500,4,46740720,16384
05-19 08:19:09,2,2500,4,46680704,85896
05-19 08:19:10,3,2500,4,46726804,18688
05-19 08:19:11,3,2500,4,46688552,85140
05-19 08:19:12,4,2500,4,46732948,16896
05-19 08:19:13,4,2500,4,46676672,83456
05-19 08:19:14,0,2500,8,46753916,19200
05-19 08:19:15,1,2500,8,46750304,16896
05-19 08:19:16,2,2500,8,46729868,18432
05-19 08:19:17,3,2500,8,46708276,16640
05-19 08:19:18,4,2500,8,46706108,16128
05-19 08:19:20,0,2500,16,46726624,13312
05-19 08:19:21,1,2500,16,46744628,19968
05-19 08:19:22,2,2500,16,46724844,19968
05-19 08:19:23,3,2500,16,46725460,17408
05-19 08:19:24,4,2500,16,46715892,17408
05-19 08:19:25,0,2500,32,46730808,18944
05-19 08:19:26,1,2500,32,46754776,18432
05-19 08:19:27,2,2500,32,46744052,17152
05-19 08:19:28,3,2500,32,46758968,15616
05-19 08:19:29,4,2500,32,46764784,15616
05-19 08:19:30,0,5000,1,46764868,17408
05-19 08:19:31,0,5000,1,46721968,62832
05-19 08:19:32,0,5000,1,46716160,68976
05-19 08:19:33,0,5000,1,46707620,74352
05-19 08:19:34,0,5000,1,46700032,79216
05-19 08:19:35,0,5000,1,46700968,83084
05-19 08:19:36,0,5000,1,46692904,88460
05-19 08:19:37,0,5000,1,46692732,93324
05-19 08:19:38,0,5000,1,46683924,98444
05-19 08:19:39,0,5000,1,46684152,103564
05-19 08:19:40,0,5000,1,46676844,108112
05-19 08:19:41,0,5000,1,46677668,112976
05-19 08:19:42,0,5000,1,46667964,118352
05-19 08:19:43,0,5000,1,46662716,123728
05-19 08:19:44,0,5000,1,46655028,128336
05-19 08:19:45,0,5000,1,46655720,133712
05-19 08:19:46,1,5000,1,46772084,16896
05-19 08:19:47,1,5000,1,46738916,63208
05-19 08:19:48,1,5000,1,46735136,69352
05-19 08:19:49,1,5000,1,46727864,74984
05-19 08:19:50,1,5000,1,46726360,80360
05-19 08:19:51,1,5000,1,46718560,83696
05-19 08:19:52,1,5000,1,46718736,88560
05-19 08:19:53,1,5000,1,46709520,94192
05-19 08:19:54,1,5000,1,46708120,99824
05-19 08:19:55,1,5000,1,46701548,105200
05-19 08:19:56,1,5000,1,46702148,108676
05-19 08:19:57,1,5000,1,46694320,114052
05-19 08:19:58,1,5000,1,46692868,119172
05-19 08:19:59,1,5000,1,46687312,124292
05-19 08:20:00,1,5000,1,46679696,129412
05-19 08:20:01,1,5000,1,46679392,134532
05-19 08:20:02,2,5000,1,46787908,16896
05-19 08:20:03,2,5000,1,46757828,62732
05-19 08:20:04,2,5000,1,46754300,71948
05-19 08:20:05,2,5000,1,46748812,77068
05-19 08:20:06,2,5000,1,46739356,82700
05-19 08:20:07,2,5000,1,46735956,87000
05-19 08:20:08,2,5000,1,46729056,92120
05-19 08:20:09,2,5000,1,46729588,97496
05-19 08:20:10,2,5000,1,46719964,102872
05-19 08:20:11,2,5000,1,46715480,107992
05-19 08:20:12,2,5000,1,46708324,110928
05-19 08:20:13,2,5000,1,46707868,116304
05-19 08:20:14,2,5000,1,46698132,121680
05-19 08:20:16,2,5000,1,46697672,127312
05-19 08:20:17,2,5000,1,46697620,132176
05-19 08:20:18,2,5000,1,46687568,137552
05-19 08:20:19,3,5000,1,46799748,16384
05-19 08:20:20,3,5000,1,46769064,60980
05-19 08:20:21,3,5000,1,46769132,70196
05-19 08:20:22,3,5000,1,46764960,75572
05-19 08:20:23,3,5000,1,46756896,80948
05-19 08:20:24,3,5000,1,46755448,86116
05-19 08:20:25,3,5000,1,46747656,91748
05-19 08:20:26,3,5000,1,46746660,97124
05-19 08:20:27,3,5000,1,46738184,102756
05-19 08:20:28,3,5000,1,46737476,108132
05-19 08:20:29,3,5000,1,46727912,112628
05-19 08:20:30,3,5000,1,46728340,117236
05-19 08:20:31,3,5000,1,46718608,122612
05-19 08:20:32,3,5000,1,46717100,128244
05-19 08:20:33,3,5000,1,46709036,132852
05-19 08:20:34,3,5000,1,46698964,138484
05-19 08:20:35,4,5000,1,46810392,16896
05-19 08:20:36,4,5000,1,46776636,61500
05-19 08:20:37,4,5000,1,46770540,67644
05-19 08:20:38,4,5000,1,46762140,73532
05-19 08:20:39,4,5000,1,46761168,78652
05-19 08:20:40,4,5000,1,46751984,82944
05-19 08:20:41,4,5000,1,46751016,88320
05-19 08:20:42,4,5000,1,46740976,93696
05-19 08:20:43,4,5000,1,46740652,98304
05-19 08:20:44,4,5000,1,46730336,104448
05-19 08:20:45,4,5000,1,46729624,107600
05-19 08:20:46,4,5000,1,46721056,112464
05-19 08:20:47,4,5000,1,46719412,117840
05-19 08:20:48,4,5000,1,46710564,123216
05-19 08:20:49,4,5000,1,46711144,128080
05-19 08:20:50,4,5000,1,46702176,133200
05-19 08:20:51,0,5000,2,46814296,16896
05-19 08:20:52,0,5000,2,46770884,66032
05-19 08:20:53,0,5000,2,46756036,79344
05-19 08:20:54,0,5000,2,46742412,91192
05-19 08:20:55,0,5000,2,46726676,102712
05-19 08:20:56,0,5000,2,46718816,112052
05-19 08:20:57,0,5000,2,46710624,122804
05-19 08:20:58,0,5000,2,46700092,133556
05-19 08:20:59,1,5000,2,46810468,16640
05-19 08:21:00,1,5000,2,46778072,67892
05-19 08:21:01,1,5000,2,46761880,81460
05-19 08:21:02,1,5000,2,46748612,92892
05-19 08:21:03,1,5000,2,46736516,105436
05-19 08:21:04,1,5000,2,46727336,113460
05-19 08:21:05,1,5000,2,46718064,123700
05-19 08:21:06,1,5000,2,46697904,134708
05-19 08:21:07,2,5000,2,46807992,15872
