input,thread,total_mem,free_mem,used_mem,buff_cache
7000,16,15690.9,6213.5,7341.8,3078.6
7000,16,15690.9,6192.6,7362.6,3086.6
7000,32,15690.9,6214.6,7340.8,3078.4
7000,32,15690.9,6189.4,7365.8,3078.5
7000,32,15690.9,6230.0,7325.3,3075.0
7000,32,15690.9,6214.3,7341.0,3075.0
7000,32,15690.9,6226.9,7328.5,3074.8
8000,1,15690.9,6246.6,7308.7,3075.0
8000,1,15690.9,6256.3,7299.0,3075.0
8000,1,15690.9,6293.5,7261.8,3075.0
8000,1,15690.9,6286.1,7269.2,3074.5
8000,1,15690.9,6285.8,7269.4,3074.6
8000,2,15690.9,6286.6,7268.8,3074.4
8000,2,15690.9,6286.1,7269.1,3074.4
8000,2,15690.9,6279.5,7275.7,3074.6
8000,2,15690.9,6276.2,7279.0,3074.6
8000,2,15690.9,6276.8,7278.4,3074.6
8000,4,15690.9,6262.7,7292.5,3077.7
8000,4,15690.9,6176.3,7379.0,3075.6
8000,4,15690.9,6233.5,7321.6,3075.3
8000,4,15690.9,6266.5,7288.6,3073.6
8000,4,15690.9,6256.4,7298.8,3073.2
8000,8,15690.9,6243.4,7311.8,3073.2
8000,8,15690.9,6248.5,7306.5,3076.6
8000,8,15690.9,6237.9,7317.0,3080.6
8000,8,15690.9,6230.4,7324.5,3078.7
8000,8,15690.9,6238.6,7316.4,3078.6
8000,16,15690.9,6235.6,7319.3,3078.7
8000,16,15690.9,6427.5,7127.7,3076.1
8000,16,15690.9,6432.7,7122.5,3075.8
8000,16,15690.9,6443.4,7111.8,3075.6
8000,16,15690.9,6435.1,7120.1,3075.6
8000,32,15690.9,6438.3,7116.8,3075.7
8000,32,15690.9,6401.9,7153.3,3075.5
8000,32,15690.9,6358.2,7197.0,3124.6
8000,32,15690.9,6357.0,7198.3,3125.0
8000,32,15690.9,6325.4,7229.8,3128.0
9000,1,15690.9,6373.5,7181.6,3129.3
9000,1,15690.9,6434.4,7120.8,3118.2
9000,1,15690.9,6430.9,7124.2,3128.4
9000,1,15690.9,6424.5,7130.5,3121.3
9000,1,15690.9,6451.4,7103.5,3114.5
9000,2,15690.9,6321.3,7233.5,3128.0
9000,2,15690.9,6353.1,7201.7,3130.8
9000,2,15690.9,6426.2,7127.3,3138.1
9000,2,15690.9,6360.8,7192.7,3161.1
9000,2,15690.9,6324.8,7228.4,3154.1
9000,4,15690.9,6355.7,7197.5,3143.6
9000,4,15690.9,6230.4,7320.9,3147.4
9000,4,15690.9,6204.6,7346.7,3137.1
9000,4,15690.9,6244.2,7307.2,3136.5
9000,4,15690.9,6298.1,7253.2,3137.1
9000,8,15690.9,6363.2,7188.1,3138.2
9000,8,15690.9,6385.5,7165.9,3128.0
9000,8,15690.9,6386.5,7164.5,3142.4
9000,8,15690.9,6404.7,7146.4,3131.3
9000,8,15690.9,6402.1,7149.0,3130.8
9000,16,15690.9,6375.8,7175.2,3131.1
9000,16,15690.9,6345.9,7205.2,3133.4
9000,16,15690.9,6361.3,7189.8,3137.0
9000,16,15690.9,6377.3,7173.7,3137.7
9000,16,15690.9,6409.9,7141.1,3131.3
9000,32,15690.9,6413.3,7137.7,3131.3
9000,32,15690.9,6409.6,7141.4,3131.3
9000,32,15690.9,6397.8,7153.3,3129.2
9000,32,15690.9,6387.5,7163.4,3135.4
9000,32,15690.9,6400.8,7150.3,3135.5
10000,1,15690.9,6404.1,7147.0,3134.8
10000,1,15690.9,6283.7,7267.0,3149.9
10000,1,15690.9,6351.3,7199.3,3152.0
10000,1,15690.9,6330.4,7219.9,3185.8
10000,1,15690.9,6356.7,7193.5,3193.0
10000,2,15690.9,6343.5,7206.4,3185.9
10000,2,15690.9,6351.8,7197.9,3168.1
10000,2,15690.9,6361.7,7187.9,3166.7
10000,2,15690.9,6423.9,7125.6,3110.2
10000,2,15690.9,6410.4,7139.0,3109.0
10000,4,15690.9,6364.8,7184.5,3170.1
10000,4,15690.9,6358.4,7190.9,3169.5
10000,4,15690.9,6344.8,7204.5,3170.0
10000,4,15690.9,6346.7,7202.6,3170.0
10000,4,15690.9,6357.2,7192.1,3170.1
10000,8,15690.9,6277.3,7271.8,3245.2
10000,8,15690.9,6282.1,7267.1,3195.1
10000,8,15690.9,6337.2,7212.0,3170.8
10000,8,15690.9,6327.6,7221.5,3194.7
10000,8,15690.9,6329.2,7220.0,3198.9
10000,16,15690.9,6358.7,7190.6,3190.9
10000,16,15690.9,6385.6,7163.6,3182.4
10000,16,15690.9,6352.7,7196.5,3186.5
10000,16,15690.9,6351.2,7198.1,3191.0
10000,16,15690.9,6347.5,7201.7,3177.1
10000,32,15690.9,6339.3,7209.8,3189.6
10000,32,15690.9,6356.8,7192.4,3147.1
10000,32,15690.9,6469.5,7079.7,3080.2
10000,32,15690.9,6386.1,7163.3,3132.4
10000,32,15690.9,6421.9,7127.2,3106.7
