input,thread,free_mem,pid_mem
5000,4,99598520,70916.0
5000,4,99587648,82380.0
5000,4,99636060,13312.0
5000,4,99602768,67356.0
5000,4,99618880,15104.0
5000,4,99553520,87884.0
5000,4,99598676,16640.0
5000,4,99571528,64516.0
5000,8,99595924,16640.0
5000,8,99550244,77732.0
5000,8,99604412,16384.0
5000,8,99607004,14336.0
5000,8,99556560,75900.0
5000,8,99607912,14336.0
5000,8,99598244,14336.0
5000,8,99556968,79076.0
5000,16,99592016,13824.0
5000,16,99578224,12032.0
5000,16,99581808,11008.0
5000,16,99570340,12032.0
5000,16,99590368,15616.0
5000,32,99614236,15360.0
5000,32,99601772,13312.0
5000,32,99589792,17152.0
5000,32,99594872,17408.0
5000,32,99594412,14080.0
6000,1,99595164,13824.0
6000,1,99569296,60444.0
6000,1,99566104,64540.0
6000,1,99559872,68636.0
6000,1,99566976,72732.0
6000,1,99560596,76316.0
6000,1,99603436,16128.0
6000,1,99576112,60796.0
6000,1,99576364,64636.0
6000,1,99573872,68988.0
6000,1,99569620,73084.0
6000,1,99562844,77180.0
6000,1,99616532,16896.0
6000,1,99580564,60808.0
6000,1,99575028,64648.0
6000,1,99569620,68744.0
6000,1,99569708,72840.0
6000,1,99562512,76424.0
6000,1,99613836,15872.0
6000,1,99584764,60768.0
6000,1,99583936,64864.0
6000,1,99583572,68960.0
6000,1,99583572,72800.0
6000,1,99581204,76896.0
6000,1,99630020,15360.0
6000,1,99602584,60440.0
6000,1,99601572,64536.0
6000,1,99595608,68632.0
6000,1,99589268,72472.0
6000,1,99590312,76312.0
6000,2,99638568,15360.0
6000,2,99596820,63104.0
6000,2,99589692,72320.0
6000,2,99579276,78976.0
6000,2,99623456,15616.0
6000,2,99593244,62496.0
6000,2,99578664,70688.0
6000,2,99574516,79136.0
6000,2,99630176,13056.0
6000,2,99597952,57304.0
6000,2,99583964,64216.0
6000,2,99577760,70872.0
6000,2,99618816,16384.0
6000,2,99589348,62800.0
6000,2,99582664,69456.0
6000,2,99578840,77136.0
6000,2,99631696,16896.0
6000,2,99597732,62796.0
6000,2,99592668,70220.0
6000,2,99580268,76876.0
6000,4,99626252,12032.0
6000,4,99592748,66936.0
6000,4,99611192,15616.0
6000,4,99575500,66104.0
6000,4,99622096,13056.0
6000,4,99590784,65104.0
6000,4,99628400,
6000,4,99629140,13056.0
6000,4,99604272,64640.0
6000,4,99591148,76856.0
6000,4,99635500,15616.0
6000,4,99600508,63476.0
6000,4,99586396,77300.0
6000,8,99635292,15616.0
6000,8,99600548,71064.0
6000,8,99648588,13056.0
6000,8,99602996,76920.0
6000,8,99650568,13056.0
6000,8,99606476,74832.0
6000,8,99632876,16128.0
6000,8,99586464,70048.0
6000,8,99601372,15616.0
6000,8,99566148,76388.0
6000,16,99613992,16128.0
6000,16,99616592,16896.0
6000,16,99616824,15104.0
6000,16,99589296,15872.0
6000,16,99573844,17152.0
6000,16,99518488,85732.0
6000,32,99559416,15872.0
6000,32,99546860,16384.0
6000,32,99575936,16896.0
6000,32,99580724,16896.0
6000,32,99582324,15872.0
7000,1,99581512,13056.0
7000,1,99557000,70332.0
7000,1,99549876,73660.0
7000,1,99551412,77244.0
7000,1,99545348,80828.0
7000,1,99547100,84156.0
7000,1,99540348,87740.0
7000,1,99618744,13056.0
7000,1,99560996,73512.0
7000,1,99554952,76840.0
7000,1,99547156,80424.0
7000,1,99546848,83752.0
7000,1,99546344,87592.0
7000,1,99547268,80956.0
7000,1,99562252,
7000,1,99595536,11776.0
7000,1,99560920,66476.0
7000,1,99560920,70316.0
7000,1,99556552,73900.0
7000,1,99560284,77740.0
7000,1,99551800,81580.0
7000,1,99553556,78680.0
7000,1,99599740,16128.0
7000,1,99556680,72436.0
7000,1,99553404,75764.0
7000,1,99552180,79348.0
7000,1,99552624,82932.0
7000,1,99555308,86516.0
7000,1,99551504,83536.0
7000,1,99614644,15872.0
7000,1,99566820,75828.0
7000,1,99565116,79156.0
7000,1,99558320,82996.0
7000,1,99553776,86580.0
7000,1,99554388,90164.0
7000,1,99554652,90088.0
7000,2,99612676,16640.0
7000,2,99561364,79036.0
7000,2,99556264,86972.0
7000,2,99551216,94652.0
7000,2,99621368,15104.0
7000,2,99560008,79476.0
7000,2,99560372,87412.0
7000,2,99554432,94324.0
7000,2,99624048,15872.0
7000,2,99586076,63200.0
7000,2,99576680,69600.0
7000,2,99570696,75488.0
7000,2,99562412,81376.0
7000,2,99608928,13568.0
7000,2,99548460,85476.0
7000,2,99548748,91620.0
7000,2,99547140,98532.0
7000,2,99618368,16896.0
7000,2,99566348,86900.0
7000,2,99558964,93812.0
7000,2,99558488,100468.0
7000,4,99623960,13568.0
7000,4,99560408,74132.0
7000,4,99543640,86164.0
7000,4,99597352,15872.0
7000,4,99554424,86812.0
7000,4,99546588,97564.0
7000,4,99611988,14336.0
7000,4,99548488,88656.0
7000,4,99539936,100688.0
7000,4,99608752,11776.0
7000,4,99572252,77224.0
7000,4,99561064,86440.0
7000,4,99617520,16640.0
7000,4,99558560,83124.0
7000,4,99544448,95156.0
7000,8,99600368,14336.0
7000,8,99535760,97860.0
7000,8,99598240,13056.0
7000,8,99553424,94432.0
7000,8,99609268,13568.0
7000,8,99536988,103048.0
7000,8,99613456,14336.0
7000,8,99561568,92212.0
7000,8,99621900,16640.0
7000,8,99556748,91268.0
7000,16,99619280,11776.0
7000,16,99548072,99928.0
7000,16,99610088,13568.0
7000,16,99606188,12032.0
7000,16,99521200,113116.0
7000,16,99597980,15104.0
7000,16,99598792,15616.0
7000,32,99601540,14336.0
7000,32,99618312,14336.0
7000,32,99618204,16384.0
7000,32,99620544,15360.0
7000,32,99617704,15616.0
8000,1,99622128,13824.0
8000,1,99598916,54784.0
8000,1,99595128,57856.0
8000,1,99592588,61184.0
8000,1,99585656,64768.0
8000,1,99584408,67584.0
8000,1,99585156,71168.0
8000,1,99578104,74240.0
8000,1,99579284,77568.0
8000,1,99618856,14848.0
8000,1,99550860,85792.0
8000,1,99546796,88608.0
8000,1,99546796,92192.0
8000,1,99539756,95008.0
8000,1,99541732,98592.0
8000,1,99534860,92280.0
8000,1,99537820,95608.0
8000,1,99536448,98680.0
8000,1,99610556,13312.0
8000,1,99574728,69292.0
8000,1,99571512,72364.0
8000,1,99565672,75436.0
8000,1,99565488,78508.0
8000,1,99565860,81836.0
8000,1,99558848,81048.0
8000,1,99559104,84120.0
8000,1,99561336,87448.0
8000,1,99616420,12032.0
8000,1,99553424,87304.0
8000,1,99548132,90120.0
8000,1,99539328,93704.0
8000,1,99541508,96520.0
8000,1,99541880,100360.0
8000,1,99535284,96756.0
8000,1,99536628,100084.0
8000,1,99537360,103156.0
8000,1,99594916,13568.0
8000,1,99564500,77096.0
8000,1,99560040,79912.0
8000,1,99561548,83496.0
8000,1,99554580,86568.0
8000,1,99554632,89896.0
8000,1,99555496,86360.0
8000,1,99554800,89432.0
8000,1,99554872,92760.0
8000,2,99615556,14592.0
8000,2,99592272,63992.0
8000,2,99586876,70392.0
8000,2,99579692,76536.0
8000,2,99583980,82168.0
8000,2,99624948,15872.0
8000,2,99592468,64044.0
8000,2,99586980,70188.0
8000,2,99585592,76588.0
8000,2,99573268,82220.0
8000,2,99627808,14336.0
8000,2,99597904,56832.0
8000,2,99594952,63232.0
8000,2,99594056,69120.0
8000,2,99582124,75776.0
8000,2,99613712,12032.0
8000,2,99591100,57244.0
8000,2,99591144,63132.0
8000,2,99591448,68252.0
8000,2,99587568,73628.0
8000,2,99580924,79004.0
8000,2,99631992,13824.0
8000,2,99603208,59112.0
8000,2,99600248,64232.0
8000,2,99592872,69864.0
8000,2,99590544,74728.0
8000,2,99581896,80360.0
8000,4,99642512,16640.0
