05-18 17:08:38,0,2500,50004480,17664
05-18 17:08:39,0,2500,49985696,49664
05-18 17:08:40,1,2500,50006660,16896
05-18 17:08:41,1,2500,49982256,49152
05-18 17:08:42,2,2500,50009344,16896
05-18 17:08:43,2,2500,49983764,48896
05-18 17:08:44,0,5000,50007940,16640
05-18 17:08:45,0,5000,49984208,49152
05-18 17:08:46,0,5000,49985216,49408
05-18 17:08:47,0,5000,49984816,49408
05-18 17:08:48,0,5000,49984968,49664
05-18 17:08:49,0,5000,49986108,49664
05-18 17:08:50,0,5000,49986440,49920
05-18 17:08:51,1,5000,50006856,16896
05-18 17:08:52,1,5000,49990668,48640
05-18 17:08:53,1,5000,49990340,49152
05-18 17:08:54,1,5000,49990456,49408
05-18 17:08:55,1,5000,49991560,49408
05-18 17:08:56,1,5000,49992820,49408
05-18 17:08:57,1,5000,49994248,49664
05-18 17:08:58,2,5000,50019512,16896
05-18 17:08:59,2,5000,49991452,49152
05-18 17:09:00,2,5000,49990040,49408
05-18 17:09:01,2,5000,49991076,49408
05-18 17:09:02,2,5000,49991688,49664
05-18 17:09:03,2,5000,49991748,49664
05-18 17:09:04,2,5000,49989264,49920
05-18 17:09:05,0,7500,50009368,17408
05-18 17:09:06,0,7500,49986244,49152
05-18 17:09:07,0,7500,49987440,49408
05-18 17:09:08,0,7500,49987532,49408
05-18 17:09:09,0,7500,49985040,49408
05-18 17:09:10,0,7500,49985704,49664
05-18 17:09:11,0,7500,49987040,49664
05-18 17:09:12,0,7500,49987672,49920
05-18 17:09:13,0,7500,49987924,49920
05-18 17:09:15,0,7500,49987744,49920
05-18 17:09:16,0,7500,49990728,49920
05-18 17:09:17,0,7500,49991592,49920
05-18 17:09:18,0,7500,49993128,49920
05-18 17:09:19,0,7500,49993380,49920
05-18 17:09:20,0,7500,49993916,50176
05-18 17:09:21,1,7500,50011760,16128
05-18 17:09:22,1,7500,49995560,49408
05-18 17:09:23,1,7500,49995524,49408
05-18 17:09:24,1,7500,49995892,49408
05-18 17:09:25,1,7500,49995936,49408
05-18 17:09:26,1,7500,49996776,49664
05-18 17:09:27,1,7500,49997740,49664
05-18 17:09:28,1,7500,50004176,49920
05-18 17:09:29,1,7500,50005012,49920
05-18 17:09:30,1,7500,50006200,49920
05-18 17:09:31,1,7500,50006620,49920
05-18 17:09:32,1,7500,50007432,50176
05-18 17:09:33,1,7500,50006724,50176
05-18 17:09:34,1,7500,50007480,50176
05-18 17:09:35,1,7500,50006884,50176
05-18 17:09:36,2,7500,50041356,16896
05-18 17:09:37,2,7500,50012132,49152
05-18 17:09:38,2,7500,50011124,49152
05-18 17:09:39,2,7500,50011376,49152
05-18 17:09:40,2,7500,50011516,49408
05-18 17:09:41,2,7500,50011888,49408
05-18 17:09:42,2,7500,50013532,49408
05-18 17:09:43,2,7500,50012452,49664
05-18 17:09:44,2,7500,50012676,49664
05-18 17:09:45,2,7500,50012088,49664
05-18 17:09:46,2,7500,50012936,49664
05-18 17:09:47,2,7500,50009752,49920
05-18 17:09:48,2,7500,50011192,49920
05-18 17:09:49,2,7500,50012440,49920
05-18 17:09:50,2,7500,50012428,50176
05-18 17:09:51,0,10000,50034736,17408
05-18 17:09:52,0,10000,50000724,49408
05-18 17:09:53,0,10000,50001492,49664
05-18 17:09:54,0,10000,50002568,49664
05-18 17:09:55,0,10000,49998944,49664
05-18 17:09:56,0,10000,49999612,49664
05-18 17:09:57,0,10000,49999400,49920
05-18 17:09:58,0,10000,49999484,49920
05-18 17:09:59,0,10000,49999500,49920
