input,thread,task_clock_msec,context_switches,cpu_migrations,page_faults,major_faults,dtlb_load_misses,cache_misses,cpu_cycles,instructions,branches,branch_misses,time_elapsed_sec,user_time_sec,sys_time_sec,ipc
2000,8,,2570,35,10393,0,375117,28775986,5329512224,3616003537,,,0.476802909,2.885998,0.123213,0.6784867704620917
2000,8,,2708,30,10589,0,304319,30965412,5663035929,3666212447,,,0.486850027,3.160816,0.125032,0.647393464029707
2000,8,,2481,30,10859,0,318876,24439073,5286694533,3643250898,,,0.478160834,2.885535,0.103552,0.689135881647505
2000,8,,2830,31,11027,0,342683,25535317,5350880502,3690520768,,,0.469185189,3.001807,0.114725,0.6897034547156479
2000,8,,2543,40,10536,0,452652,28054528,5403800918,3620891940,,,0.488891414,2.961256,0.113699,0.6700639040825597
2000,16,,3513,36,11452,0,370448,29812042,7888757290,3715360126,,,0.421478605,4.05914,0.141843,0.4709689992249717
2000,16,,3875,39,10485,0,365311,27606965,7609769052,3618961017,,,0.412416981,3.941048,0.114059,0.4755677856017016
2000,16,,3381,38,11193,0,437966,28571467,8015936573,3727535177,,,0.419794169,4.123187,0.124585,0.4650155528370097
2000,16,,4180,42,10689,0,364822,31588907,8032828775,3688007786,,,0.416734851,4.13878,0.140623,0.4591169423999082
2000,16,,4161,43,10855,0,370062,38060736,10137509312,3761933674,,,0.492497345,5.360569,0.129585,0.3710905270929728
2000,32,,4019,576,11598,0,412875,25801116,12209410460,3713545460,,,0.430025423,6.244716,0.184577,0.30415436291262177
2000,32,,3943,659,12149,0,438832,25841255,11316671987,3792533865,,,0.411168169,5.934359,0.152364,0.33512801902862116
2000,32,,6334,727,11295,0,426156,24703081,10406347129,3649478450,,,0.3982862,5.334426,0.222141,0.35069735852168304
2000,32,,6340,484,11250,0,423100,33414002,12927374237,3701588135,,,0.39758641,6.47805,0.226796,0.2863371994295271
2000,32,,4383,580,12623,0,466972,29944384,12110104612,3756066561,,,0.384126913,6.112797,0.17367,0.3101597121859776
3000,1,,670,11,12957,0,162747,1200676,4510882183,7194214761,,,1.883040189,2.386418,0.096976,1.5948576063707847
3000,1,,693,18,12993,0,165262,1186051,4545202634,7227513525,,,1.881869972,2.406872,0.089217,1.5901411019467433
3000,1,,670,6,12955,0,160454,1192232,4528424499,7223073973,,,1.874411626,2.389625,0.101238,1.5950523133586643
3000,1,,688,7,12961,0,163936,1158306,4522867688,7216638040,,,1.876084652,2.384432,0.098934,1.5955890240050727
3000,1,,713,7,12955,0,164107,1209629,4511629918,7212034525,,,1.874027175,2.377908,0.089108,1.598543022384488
3000,2,,873,15,12583,0,333900,25421124,5955086036,7268951169,,,1.532141831,3.617185,0.102089,1.2206290765670476
3000,2,,884,21,13800,0,307488,24184507,6271857545,7508353682,,,1.380886914,3.38914,0.109165,1.1971499078428127
3000,2,,915,15,12727,0,206315,1543416,5396121598,7568692247,,,1.304135167,3.048596,0.100788,1.4026170666363846
3000,2,,991,14,13913,0,236072,1699109,6509747227,7913305943,,,1.559213465,3.667252,0.108066,1.2156087889524438
3000,2,,912,21,12932,0,274566,24260582,6532893734,7739494007,,,1.533454261,3.619012,0.108179,1.1846961426481395
3000,4,,1942,28,12655,0,350694,21607835,6126952762,7186274659,,,0.892811193,3.59273,0.117435,1.1728953915835658
3000,4,,1710,20,13208,0,412414,37224284,7538968526,7469009396,,,1.054376974,4.255907,0.140798,0.9907203313346211
3000,4,,1829,24,13903,0,465729,38163879,7846991192,7537640577,,,1.100818736,4.579073,0.120896,0.9605771680596019
3000,4,,1906,19,12651,0,609405,24456877,6262428426,7189082403,,,0.943080446,3.808864,0.143392,1.1479703900730858
3000,4,,1752,20,12464,0,332703,19669417,5752605717,7012622787,,,0.885736233,3.433885,0.105057,1.2190341441751205
3000,8,,2913,23,13443,0,448265,35148113,9019339183,7246885254,,,0.709782774,4.87608,0.125538,0.8034829500213508
3000,8,,3371,33,11136,0,410792,21948606,6671318067,6774539970,,,0.606837826,3.898888,0.126509,1.015472490138132
3000,8,,3436,22,10946,0,467676,21564096,6711448192,6780329327,,,0.573960513,3.681729,0.14993,1.0102632297872918
3000,8,,2995,29,12878,0,523725,33077052,8920164164,7198648406,,,0.701968798,4.768148,0.126481,0.8070085116877452
3000,8,,2979,20,11095,0,656096,22943233,6837221811,6779444473,,,0.580936249,3.742412,0.127979,0.9915495884736333
3000,16,,4940,43,11943,0,382483,27179561,9353558065,7025646141,,,0.48755468,4.895125,0.155813,0.7511201718294994
