input,thread,time1,time2,time3,time4,time5
1000,1,983,977,980,976,1032
1000,2,655,657,667,647,676
1000,4,420,550,499,570,463
1000,8,541,565,540,541,518
1000,16,526,406,443,422,489
1000,32,457,426,459,434,481
1000,64,602,486,567,590,525
1000,128,587,548,603,607,580
2000,1,3045,3019,3007,3052,2968
2000,2,1683,1675,1676,1672,1672
2000,4,1020,974,1068,1015,969
2000,8,749,709,773,667,790
2000,16,518,523,574,546,539
2000,32,569,568,581,503,560
2000,64,730,788,795,687,587
2000,128,856,828,873,721,824
3000,1,6165,6072,6079,6155,6073
3000,2,3169,3133,3236,3261,3225
3000,4,1799,1800,1823,1792,1761
3000,8,1174,1168,1032,1034,1117
3000,16,851,747,796,739,723
3000,32,664,692,682,645,744
3000,64,737,792,790,887,769
3000,128,874,1033,1174,978,1091
4000,1,10311,10110,10062,10128,10275
4000,2,5282,5037,5348,5328,5372
4000,4,2881,2831,2833,2853,2845
4000,8,1707,1673,1677,1613,1663
4000,16,995,968,972,972,1007
4000,32,805,790,836,882,751
4000,64,837,932,1022,982,1001
4000,128,1192,1449,1127,954,1198
5000,1,15231,15316,15256,15796,15794
5000,2,7959,7753,8019,8004,7985
5000,4,4150,4001,4221,4201,4067
5000,8,2354,2299,2387,2228,2364
5000,16,1331,1343,1347,1356,1299
5000,32,1010,999,1001,992,1015
5000,64,1103,1178,1079,1121,1162
5000,128,1878,1354,1309,1331,1189
6000,1,21958,21897,21664,21922,21957
6000,2,11269,10901,10913,11291,11266
6000,4,5821,5679,5646,5851,5658
6000,8,3070,3161,3180,3195,3146
6000,16,1721,1715,1708,1768,1762
6000,32,1176,1192,1198,1175,1258
6000,64,1327,1259,1340,1386,1262
6000,128,1596,1510,1533,1350,1648
7000,1,29338,29028,29064,29077,29240
7000,2,15144,15432,15105,14209,14634
7000,4,7479,7548,7748,7529,7716
7000,8,4174,4138,4096,4080,4036
7000,16,2178,2269,2295,2292,2177
7000,32,1426,1411,1428,1433,1408
7000,64,1499,1541,1645,1598,1607
7000,128,2115,1626,1723,2167,1672
8000,1,38053,37608,37667,37599,37646
8000,2,19548,18946,18908,19615,18955
8000,4,8916,9643,9597,10106,8969
8000,8,5029,5255,5026,5027,4708
8000,16,2704,2593,2827,2796,2825
8000,32,1702,1754,1698,1843,1757
8000,64,2052,1855,1980,1869,2216
8000,128,2394,2177,2232,2198,2096
9000,1,47331,47254,47611,47266,47767
9000,2,23770,23807,23772,25104,23763
9000,4,11162,12023,12690,12730,11150
9000,8,6265,5804,5833,5854,5778
9000,16,3333,3401,3512,3471,3443
9000,32,2225,2140,2185,2113,2103
9000,64,2278,2004,2429,2097,2101
9000,128,2599,2127,2666,2250,2271
10000,1,58441,58309,58306,58325,58499
10000,2,29137,29151,26963,29078,29120
10000,4,13669,13667,13694,15536,13660
10000,8,7084,7104,7981,7066,7654
10000,16,3716,4238,4087,3747,3703
10000,32,2543,2593,2531,2542,2559
10000,64,2824,2380,2581,2439,2662
10000,128,2945,2599,2580,2787,2837
