input,time1,time2,time3,time4,time5
2500,1767,1769,1769,1767,1767
5000,6716,6717,6720,6716,6716
7500,14956,14676,14960,14958,14934
10000,26500,26506,26504,26500,28795
12500,41329,40609,41325
15000,59490,64654,59463
