input,time1,time2,time3,time4,time5
1000,377,378,377,377,376
2000,1175,1177,1176,1175,1176
3000,2472,2496,2497,2496,2497
4000,4320,4341,4345,4317,4342
5000,6717,6694,6715,6719,6707
6000,9621,9607,9620,9608,9620
7000,13045,13048,13046,13018,13048
8000,17005,17003,17008,17004,17006
9000,21474,21487,21490,21493,21495
10000,26486,26510,26495,26489,26480
