input,thread,time1,time2,time3,time4,time5
1000,1,123,110,155,139,123
1000,2,83,80,74,83,76
1000,4,65,66,64,63,61
1000,8,74,78,64,76,71
1000,16,110,116,184,111,113
1000,32,99,134,101,119,174
2000,1,381,365,360,367,338
2000,2,225,221,216,203,202
2000,4,145,147,224,144,145
2000,8,126,120,119,118,115
2000,16,212,130,137,165,130
2000,32,201,189,220,203,178
3000,1,755,734,762,719,795
3000,2,416,420,422,403,400
3000,4,275,264,293,268,271
3000,8,212,214,193,240,215
3000,16,229,192,224,227,199
3000,32,287,220,213,337,273
4000,1,1357,1384,1385,1388,1368
4000,2,659,648,676,605,677
4000,4,421,425,398,402,413
4000,8,321,320,316,383,321
4000,16,349,320,432,333,311
4000,32,331,330,421,467,360
5000,1,1983,1926,1646,1965,2216
5000,2,1143,1216,1196,1028,1032
5000,4,557,658,772,751,718
5000,8,606,532,560,606,507
5000,16,608,496,473,463,551
5000,32,658,598,874,508,506
6000,1,3049,2873,2795,2839,2677
6000,2,1724,1742,1688,1463,1655
6000,4,883,841,886,925,851
6000,8,788,630,709,715,685
6000,16,684,776,683,692,639
6000,32,701,677,656,673,677
7000,1,3747,3830,3655,3627,3798
7000,2,2353,2366,2042,2307,2122
7000,4,1117,1165,1134,1146,1140
7000,8,905,905,925,895,921
7000,16,863,907,895,974,875
7000,32,904,880,819,875,870
8000,1,4750,4730,4774,4744,5016
