input,time1,time2,time3,time4,time5
2500,1733,1770,1768,1770,1746
5000,6716,6690,6715,6715,6705
7500,14957,14943,14962,14957,14951
10000,26490,26486,26496,26495,26492
12500,41330,41338,41314
15000,58385,59461,59445
