input,time1,time2,time3,time4,time5
2500,4464,4462,4462,7943,4505
5000,30561,16549,17296,16438,31042
7500,37729,37567,37820,37073,67691
10000,65284,65541,123998,124155,121877
12500,105803,102436,102565
15000,278498,271831,147450
