input,time1,time2,time3,time4,time5
2500,4459,4506,4524,4529,4470
5000,16773,16415,31004,16832,31100
7500,38308,37846,66018,37818,37138
10000,116658,123889,117995,67016,124051
12500,102575,186277,105696
15000,152298,152150,146359
