input,time1,time2,time3,time4,time5
1000,81,86,77,77,87
2000,304,297,286,290,285
3000,600,611,616,628,618
4000,1096,1101,1057,1087,1077
5000,1680,1698,1664,1666,1664
6000,2411,2406,2410,2411,2407
7000,3245,3419,3248,3322,3271
8000,4237,4406,4277,4254,4360
9000,5506,5658,5354,5492,5341
10000,6714,6919,6571,6638,6725
