input,thread,time1,time2,time3,time4,time5
1000,1,263,260,270,266,262
1000,2,237,224,232,251,225
1000,4,234,233,249,247,242
1000,8,258,255,264,194,258
1000,16,200,238,173,189,206
1000,32,183,179,186,192,193
2000,1,754,754,752,766,756
2000,2,823,1023,764,858,1013
2000,4,711,480,505,684,494
2000,8,308,326,309,307,319
2000,16,251,246,256,263,334
2000,32,257,251,230,238,228
3000,1,1722,1720,1711,1712,1711
3000,2,1369,1217,1141,1395,1374
3000,4,731,892,927,775,719
3000,8,544,441,412,542,423
3000,16,332,353,312,368,324
3000,32,323,348,336,329,401
4000,1,2731,2728,2789,2821,2824
4000,2,1543,1775,1809,1675,1759
4000,4,1093,974,1252,1282,1253
4000,8,692,619,781,718,692
4000,16,380,359,381,369,489
4000,32,390,435,462,385,390
5000,1,3995,4011,3995,4000,3992
5000,2,2113,2643,2515,2603,2392
5000,4,1618,1835,1669,1766,1619
5000,8,1128,1025,893,952,867
5000,16,537,683,516,758,559
5000,32,470,624,456,450,512
6000,1,5414,5411,5349,5407,5427
6000,2,3202,3033,2790,3039,3177
6000,4,2047,1986,1778,2005,2052
6000,8,978,1230,1413,1283,1136
6000,16,614,831,910,787,600
6000,32,662,618,632,694,668
7000,1,6949,6929,6781,6947,6951
7000,2,3975,3529,3864,3991,3570
7000,4,2429,2577,2195,2486,2409
7000,8,1264,1386,1285,1288,1234
7000,16,923,703,873,864,605
7000,32,699,627,636,614,616
8000,1,8578,8838,8566,8855,8873
8000,2,5206,5089,4512,5120,4959
8000,4,3007,2971,2899,3007,2805
8000,8,1583,1599,1649,1416,1597
8000,16,910,1080,924,915,1181
8000,32,721,726,746,977,901
9000,1,10075,11327,12301,11346,11315
9000,2,6450,6432,6439,6395,6369
9000,4,3514,3471,3584,3895,3488
9000,8,1991,2017,1834,1602,1854
9000,16,1658,1212,1255,1156,1272
9000,32,1402,983,1324,882,1070
10000,1,13993,14167,14929,13990,14180
10000,2,7791,7770,7649,7741,7930
10000,4,4273,4087,4250,4217,4204
10000,8,2192,2300,2472,2172,2419
10000,16,1385,1377,1422,1705,1462
10000,32,1457,995,1186,977,977
