input,thread,time1,time2,time3,time4,time5
2500,1,4468,4511,4470,4486,4497
2500,2,2382,2377,2382,2337,2338
2500,4,1406,1343,1340,1364,1323
2500,8,909,888,914,890,895
2500,16,663,652,754,615,669
2500,32,591,593,561,620,571
5000,1,15313,15301,15754,15766,15773
5000,2,8009,7741,7813,7772,8016
5000,4,4223,4095,4213,4204,4188
5000,8,2356,2222,2209,2359,2285
5000,16,1278,1342,1291,1279,1286
5000,32,970,973,974,948,940
7500,1,33310,33214,33101,33261,33267
7500,2,15943,15957,16727,15446,15460
7500,4,8261,8506,7870,8839,8246
7500,8,4591,4586,4666,4575,4514
7500,16,2396,2232,2514,2608,2478
7500,32,1564,1594,1528,1623,1517
10000,1,58050,58286,58278,58384,58006
10000,2,30773,30805,30103,29160,29089
10000,4,13676,13647,13657,15601,13601
10000,8,7071,7085,7043,7033,7653
10000,16,3791,3854,3915,3862,3733
10000,32,2359,2673,2667,2282,2387
12500,1,90515,89886,90517
12500,2,45063,44992,45149
12500,4,20942,20973,22757
12500,8,10744,10699,10785
12500,16,6331,5656,5669
12500,32,3251,3655,3573
15000,1,129411,128887,129277
15000,2,64411,64533,64300
15000,4,32346,28776,32391
15000,8,16539,16464,17410
15000,16,8979,9015,7808
15000,32,4709,4747,4850
