input,time1,time2,time3,time4,time5
1000,377,376,362,375,377
2000,1192,1175,1175,1175,1176
3000,2511,2496,2496,2495,2495
4000,4343,4343,4341,4324,4344
5000,6717,6715,6717,6718,6718
6000,9617,9621,9620,9615,9618
7000,13044,13023,13045,13047,13054
8000,17001,17003,17148,16988,17012
9000,21486,21492,21633,21498,21502
10000,26556,26569,26547,26541,26584
