input,time1,time2,time3,time4,time5
1000,867,859,884,1356,1391
2000,2844,2979,2833,5063,2831
3000,6315,6414,11313,6406,11309
4000,10717,10736,10725,20123,11060
5000,16699,17234,30854,30997,16702
6000,25027,23881,44965,44061,23749
7000,33866,33089,31647,31977,31891
8000,42894,42133,74986,74648,78904
9000,94207,55350,54753,55105,94213
10000,65663,122877,65674,115686,67043
