input,thread,time1,time2,time3,time4,time5
1000,1,1068,1030,1027,989,1021
1000,2,625,632,652,657,651
1000,4,460,427,424,476,437
1000,8,401,333,354,388,375
1000,16,366,463,455,414,461
1000,32,439,395,489,470,405
2000,1,3067,3019,3018,3068,3063
2000,2,1645,1597,1646,1663,1634
2000,4,919,951,975,957,971
2000,8,591,636,649,557,559
2000,16,580,639,488,522,522
2000,32,568,604,518,626,522
3000,1,5989,6144,6145,6194,6134
3000,2,3171,3145,3170,3098,3120
3000,4,1714,1717,1645,1716,1640
3000,8,970,948,937,945,983
3000,16,727,791,725,725,790
3000,32,730,771,669,655,775
4000,1,10034,10065,10089,11997,10083
4000,2,5144,5289,5241,5125,5185
4000,4,2742,2811,2812,2705,2837
4000,8,1466,1494,1502,1498,1472
4000,16,945,1015,979,938,1027
4000,32,851,879,817,858,870
5000,1,15440,15936,15494,15456,15884
5000,2,7964,7933,7860,7942,7677
5000,4,4115,4097,4121,4127,4137
5000,8,2152,2292,2181,2210,2156
5000,16,1314,1352,1343,1334,1383
5000,32,985,1035,1026,1022,1011
6000,1,22475,21722,21742,21782,21765
6000,2,11318,10878,11280,11267,10955
6000,4,5639,5635,5712,5712,5752
6000,8,3056,3069,3034,2961,3040
6000,16,1694,1761,1704,1733,1669
6000,32,1177,1284,1237,1217,1255
7000,1,29086,29184,29175,29117,29082
7000,2,14649,14623,15143,15116,14634
7000,4,7634,7443,7601,6898,7388
7000,8,4093,3588,3925,4115,4057
7000,16,2277,2346,2334,2259,2245
7000,32,1520,1563,1650,1578,1488
8000,1,37732,37664,37656,37724,37696
8000,2,19405,18816,17423,18867,18981
8000,4,9495,10081,10073,9873,8828
8000,8,4665,5288,4605,5034,4635
8000,16,2705,2798,2807,2912,2517
8000,32,1970,1880,1772,1933,1970
9000,1,47425,47312,47397,47425,47406
9000,2,23705,23621,23386,25130,23761
9000,4,11902,11340,12627,11030,12624
9000,8,6381,6238,5755,6373,5688
9000,16,3543,3213,3571,3689,3667
9000,32,2281,2090,1997,2306,2074
