input,thread,time1,time2,time3,time4,time5
1000,1,1015,1016,1036,1037,1020
1000,2,662,605,669,680,676
1000,4,478,494,453,429,450
1000,8,347,401,399,327,348
1000,16,479,369,355,436,414
1000,32,449,423,444,420,421
2000,1,3058,3054,3041,3000,3007
2000,2,1662,1582,1637,1653,1663
2000,4,940,945,955,941,1016
2000,8,592,591,597,619,564
2000,16,576,501,486,520,494
2000,32,531,531,496,529,527
3000,1,6156,6148,6124,6043,5979
3000,2,3150,3082,3208,3230,3219
3000,4,1744,1801,1669,1662,1678
3000,8,923,985,985,937,948
3000,16,718,773,826,737,835
3000,32,615,624,683,672,684
4000,1,10080,10061,10069,10050,10108
4000,2,5330,5205,5283,5191,5160
4000,4,2755,2747,2735,2666,2818
4000,8,1495,1486,1470,1499,1491
4000,16,1021,976,930,1002,1047
4000,32,814,790,809,804,766
5000,1,15745,15295,15773,15788,15757
5000,2,7919,7884,7930,7919,7907
5000,4,3937,4148,4075,4043,4157
5000,8,2212,2114,2248,2152,2172
5000,16,1412,1344,1387,1340,1272
5000,32,942,977,998,949,996
6000,1,21647,21597,21604,21607,22316
6000,2,11210,11051,11470,10848,11256
6000,4,5543,5611,5817,5690,5744
6000,8,2909,2982,2913,2988,3020
6000,16,1695,1691,1796,1729,1784
6000,32,1143,1263,1207,1244,1171
7000,1,28976,29007,29071,29025,29043
7000,2,15523,14618,14598,14622,15382
7000,4,7672,7461,7672,7429,7448
7000,8,3957,3608,3991,3943,3590
7000,16,2351,2250,2199,2275,2211
7000,32,1381,1338,1451,1539,1460
8000,1,37585,37591,37632,37632,37630
8000,2,18864,18895,18544,18886,18868
8000,4,10110,9610,10075,8807,9639
8000,8,4611,4941,5258,4829,4593
8000,16,2770,2704,2838,2689,2910
8000,32,1732,1802,1764,1839,1834
9000,1,47148,47258,47281,47259,47261
9000,2,24983,21914,23668,22008,24503
9000,4,11126,11115,11940,11130,11104
9000,8,5721,5701,6139,6222,6213
9000,16,3291,3611,3464,3127,3213
9000,32,2037,2091,2139,2235,2118
10000,1,57859,58054,58106,58085,58060
10000,2,29093,29118,26871,30726,29047
10000,4,14684,14709,13535,14705,13621
10000,8,6927,6980,7003,7453,6913
10000,16,3802,4133,3854,3773,4326
10000,32,2470,2375,2218,2496,2527
