input,time1,time2,time3,time4,time5
1000,377,376,378,378,378
2000,1174,1176,1176,1175,1177
3000,2497,2497,2497,2472,2496
4000,4343,4342,4341,4329,4342
5000,6719,6715,6717,6721,6693
6000,9620,9619,9623,9620,9618
7000,13052,13013,13044,13053,13046
8000,17004,17002,16980,17002,17002
9000,21484,21486,21485,21485,21483
10000,26493,26500,26493,26498,26497
