input,thread,task_clock_msec,context_switches,cpu_migrations,page_faults,major_faults,dtlb_load_misses,cache_misses,cpu_cycles,instructions,branches,branch_misses,time_elapsed_sec,user_time_sec,sys_time_sec,ipc
256,1,103.85,0,0,5186,0,49508,626361,,,,,0.071247819,0.09372,0.01058,0.0
256,1,89.26,0,0,5217,0,50330,659873,,,,,0.06614248,0.07444,0.015126,0.0
256,1,81.2,0,0,5279,0,46307,630659,,,,,0.0615115,0.067287,0.013978,0.0
256,1,72.19,0,0,5314,0,39715,454715,,,,,0.060232511,0.054971,0.017908,0.0
256,1,103.22,0,0,5196,0,57558,842183,,,,,0.098309909,0.080141,0.022806,0.0
256,2,115.18,0,0,5297,0,62032,747189,,,,,0.08266038,0.092366,0.022201,0.0
256,2,137.76,0,0,5225,0,62779,810642,,,,,0.09540486,0.110994,0.026724,0.0
256,2,86.9,0,0,5215,0,48864,473797,,,,,0.05585033,0.066211,0.021016,0.0
256,2,95.43,0,0,5249,0,61267,559493,,,,,0.059091547,0.079499,0.016127,0.0
256,2,142.0,0,0,5282,0,63365,812108,,,,,0.079766896,0.125318,0.015724,0.0
256,4,129.77,0,0,5324,0,76287,701812,,,,,0.06783015,0.112133,0.017392,0.0
256,4,148.33,0,0,5282,0,77097,681289,,,,,0.071462528,0.128647,0.019471,0.0
256,4,165.19,0,0,5236,0,81470,793782,,,,,0.082856072,0.145042,0.019302,0.0
256,4,144.25,0,0,5326,0,76263,653191,,,,,0.068342684,0.124015,0.01973,0.0
256,4,134.73,0,0,5362,0,68708,550931,,,,,0.063032206,0.112687,0.022,0.0
256,8,223.76,0,0,5842,0,115896,739781,,,,,0.07364485,0.201834,0.02138,0.0
256,8,220.92,0,0,6754,0,130918,634847,,,,,0.068891337,0.199247,0.021229,0.0
256,8,199.76,0,0,5652,0,113833,607944,,,,,0.066305819,0.174951,0.023877,0.0
256,8,221.45,0,0,5601,0,121562,737319,,,,,0.080941629,0.196813,0.023015,0.0
256,8,270.6,0,0,5716,0,122013,614370,,,,,0.073620203,0.248531,0.020706,0.0
256,16,262.97,0,0,5978,0,138197,701053,,,,,0.073323948,0.238287,0.023881,0.0
256,16,295.53,0,0,5634,0,130485,678402,,,,,0.080438644,0.267805,0.026747,0.0
256,16,242.68,0,0,5719,0,121847,678094,,,,,0.07111302,0.218606,0.023457,0.0
256,16,224.17,0,0,5844,0,124419,596577,,,,,0.065819663,0.21374,0.010002,0.0
256,16,246.67,0,0,5842,0,125520,652656,,,,,0.065364615,0.225833,0.020147,0.0
256,32,279.32,0,0,6368,0,140323,636934,,,,,0.073193598,0.251058,0.027655,0.0
256,32,255.09,0,0,6144,0,134147,605697,,,,,0.070073498,0.232283,0.02214,0.0
256,32,266.24,0,0,6120,0,124941,750971,,,,,0.068561666,0.241126,0.024522,0.0
256,32,302.76,0,0,6176,0,126665,540842,,,,,0.073885131,0.283388,0.018625,0.0
256,32,411.61,0,0,6187,0,122943,551002,,,,,0.090663522,0.379844,0.030476,0.0
512,1,117.32,0,0,5559,0,48883,504973,,,,,0.069536076,0.099608,0.018317,0.0
512,1,107.65,0,0,5586,0,48109,434809,,,,,0.071719933,0.097084,0.011034,0.0
512,1,117.51,0,0,5505,0,49001,426340,,,,,0.076726758,0.107073,0.010862,0.0
512,1,108.2,0,0,5561,0,45523,424247,,,,,0.073069186,0.095544,0.013417,0.0
512,1,120.12,0,0,5599,0,52350,588690,,,,,0.064498254,0.106984,0.013494,0.0
512,2,159.58,0,0,5900,0,64589,586189,,,,,0.069443574,0.146262,0.013352,0.0
512,2,184.02,0,0,6526,0,76760,826167,,,,,0.077378637,0.163512,0.019728,0.0
512,2,145.76,0,0,6000,0,56637,456196,,,,,0.065829961,0.133223,0.013023,0.0
512,2,138.31,0,0,6014,0,56410,503275,,,,,0.0657882,0.123841,0.014924,0.0
512,2,145.24,0,0,5933,0,55984,542131,,,,,0.067742772,0.135732,0.010185,0.0
512,4,188.34,0,0,6081,0,77370,546044,,,,,0.064316819,0.17328,0.014713,0.0
512,4,181.45,0,0,6061,0,76453,515709,,,,,0.061827695,0.169573,0.011779,0.0
512,4,210.1,0,0,5879,0,78937,734200,,,,,0.073942487,0.19465,0.014834,0.0
512,4,185.43,0,0,6141,0,84143,617079,,,,,0.063098217,0.159149,0.025831,0.0
512,4,199.42,0,0,6607,0,91337,661000,,,,,0.064650763,0.184541,0.014375,0.0
512,8,305.94,0,0,6041,0,132781,926679,,,,,0.087937091,0.285572,0.018485,0.0
512,8,392.48,0,0,6899,0,158953,1014075,,,,,0.098521998,0.374076,0.015757,0.0
512,8,312.2,0,0,6197,0,131724,806008,,,,,0.079560798,0.29068,0.019617,0.0
512,8,292.71,0,0,6228,0,128821,920134,,,,,0.082432922,0.276916,0.01422,0.0
512,8,285.73,0,0,6060,0,125707,817985,,,,,0.078213682,0.262277,0.021642,0.0
512,16,435.3,0,0,7293,0,170414,1135276,,,,,0.099563097,0.39943,0.033878,0.0
512,16,473.73,0,0,7930,0,189865,1160101,,,,,0.105940005,0.44234,0.028679,0.0
512,16,493.31,0,0,7933,0,212382,1408806,,,,,0.11471834,0.465727,0.025453,0.0
512,16,470.81,0,0,6936,0,208648,1274741,,,,,0.114180271,0.439117,0.029262,0.0
