input,thread,task_clock_msec,context_switches,cpu_migrations,page_faults,major_faults,dtlb_load_misses,cache_misses,cpu_cycles,instructions,branches,branch_misses,time_elapsed_sec,user_time_sec,sys_time_sec,ipc
512,8,,2361,32,12264,0,340940,14440226,2199641358,1263252505,,,0.266934364,1.40061,0.130804,0.5742993058416571
512,8,,1897,44,13285,0,332709,15145787,2271214025,1213918640,,,0.257086775,1.353496,0.154685,0.5344800739331468
512,8,,2000,36,13385,0,342022,15206857,2223526833,1220289526,,,0.263308868,1.344849,0.147108,0.5488080952697907
512,16,,3392,68,17401,0,605368,27049967,4161459123,1736600679,,,0.279101063,2.388677,0.180597,0.41730571601724226
512,16,,3038,96,17604,0,584859,30048206,4570167871,1764577278,,,0.281809426,2.65016,0.20115,0.3861077596727081
512,16,,3386,94,16995,0,615303,27798397,4238174217,1777811483,,,0.274119343,2.423845,0.196258,0.41947579121899037
512,16,,2945,68,17553,0,573606,27988287,4042670929,1688562924,,,0.282552154,2.418103,0.214149,0.4176849794741233
512,16,,2995,66,17304,0,602292,30378812,4328812123,1724841588,,,0.285414434,2.470237,0.187726,0.3984560981141939
512,32,,6154,1468,18224,0,844368,29767438,5883083834,1868942137,,,0.289062404,2.880372,0.268333,0.3176806908986842
512,32,,5351,1330,16333,0,715517,30909689,6009099716,1650656354,,,0.282108493,2.964304,0.212523,0.2746927879404157
512,32,,5505,1347,16396,0,782507,24244687,5337220299,1713487840,,,0.266509397,2.59614,0.248217,0.32104499046461416
512,32,,6138,1319,17112,0,818242,28820543,6160614147,1807144305,,,0.288363657,3.036537,0.220514,0.29333833638648105
512,32,,5615,1337,17597,0,874419,27458460,5712498447,1818353400,,,0.280753903,2.790394,0.231019,0.3183114038227764
1024,1,,891,15,7695,0,136437,1137155,1245879488,1077125082,,,0.437104114,0.735181,0.082892,0.8645499764420232
1024,1,,880,15,7711,0,134875,1095931,1243973810,1072265149,,,0.456509981,0.760938,0.085668,0.8619676237396027
1024,1,,908,19,7647,0,138298,1124179,1244321658,1072250625,,,0.461646255,0.753969,0.10033,0.8617149899355043
1024,1,,921,16,7699,0,138422,1096349,1257959970,1096048165,,,0.444142799,0.745074,0.077798,0.8712901770634244
1024,1,,955,18,7644,0,142053,1185323,1269709950,1101350016,,,0.475581007,0.813925,0.103883,0.8674028395225224
1024,2,,1170,12,9193,0,185816,1305826,1622695108,1354747396,,,0.344481321,1.020896,0.092447,0.8348748876612747
1024,2,,1292,17,9001,0,181417,3436840,1546703201,1271116230,,,0.336042965,0.936045,0.088858,0.8218229775293521
