input,thread,free_mem,pid_mem
16384,1,52036292,176764.0
16384,1,52037060,176764.0
16384,1,52043240,176764.0
16384,1,52042488,176764.0
16384,1,52042672,176764.0
16384,1,52043176,176764.0
16384,1,52201636,16384.0
16384,1,52170392,52224.0
16384,1,52166612,55552.0
16384,1,52157792,58624.0
16384,1,52156824,62684.0
16384,1,52146392,71440.0
16384,1,52138328,79632.0
16384,1,52130272,91408.0
16384,1,52122460,100624.0
16384,1,52114348,102416.0
16384,1,52115608,101344.0
16384,1,52115448,102880.0
16384,1,52115196,104672.0
16384,1,52115452,106208.0
16384,1,52108288,108000.0
16384,1,52107912,109536.0
16384,1,52108416,111328.0
16384,1,52109412,112864.0
16384,1,52110228,114656.0
16384,1,52102444,116448.0
16384,1,52104768,118240.0
16384,1,52105272,120032.0
16384,1,52106164,122080.0
16384,1,52096984,129248.0
16384,1,52097320,131296.0
16384,1,52098604,132596.0
16384,1,52099520,134900.0
16384,1,52091708,137460.0
16384,1,52092436,140020.0
16384,1,52092688,142580.0
16384,1,52085388,145396.0
16384,1,52086144,148212.0
16384,1,52086264,151028.0
16384,1,52060152,169972.0
16384,1,52058416,172276.0
16384,1,52058416,173300.0
16384,1,52058692,173300.0
16384,1,52058188,173300.0
16384,1,52065468,173300.0
16384,1,52067224,173300.0
16384,1,52067924,173300.0
16384,1,52068432,173300.0
16384,1,52068432,173300.0
16384,1,52068852,173300.0
16384,1,52068868,173300.0
16384,1,52068868,173300.0
16384,1,52068804,173300.0
16384,1,52068556,173300.0
16384,1,52068136,173300.0
16384,1,52068008,173300.0
16384,1,52067780,173300.0
16384,1,52068284,173300.0
16384,1,52068284,173300.0
16384,1,52068284,173300.0
16384,1,52063752,177288.0
16384,1,52064012,177288.0
16384,1,52063788,177288.0
16384,1,52063796,177288.0
16384,1,52063816,177288.0
16384,1,52063896,177288.0
16384,1,52063784,177288.0
16384,2,52228784,18688.0
16384,2,52172636,64344.0
16384,2,52151972,87128.0
16384,2,52127532,93016.0
16384,2,52119720,98648.0
16384,2,52112252,103224.0
16384,2,52113000,109880.0
16384,2,52104824,121144.0
16384,2,52088316,130104.0
16384,2,52088568,134712.0
16384,2,52080280,139576.0
16384,2,52072372,144440.0
16384,2,52076100,149304.0
16384,2,52060728,166712.0
16384,2,52060356,167224.0
16384,2,52060064,167224.0
16384,2,52060664,167224.0
16384,2,52060432,167224.0
16384,2,52065860,170556.0
16384,2,52067016,170556.0
16384,2,52069904,170556.0
16384,2,52073144,170556.0
16384,2,52074776,170556.0
16384,2,52076128,170556.0
16384,2,52078184,170556.0
16384,2,52078436,170556.0
16384,2,52077780,185404.0
16384,2,52069328,185404.0
16384,2,52069848,185404.0
16384,2,52069420,185404.0
16384,2,52069672,183268.0
16384,2,52224880,17920.0
16384,2,52175680,63096.0
16384,2,52156276,87416.0
16384,2,52144752,93304.0
16384,2,52136700,99448.0
16384,2,52128972,103068.0
16384,2,52129496,109980.0
16384,2,52121864,120988.0
16384,2,52106336,129436.0
16384,2,52106084,134300.0
16384,2,52098524,138908.0
16384,2,52098272,143772.0
16384,2,52090460,148892.0
16384,2,52076684,167068.0
16384,2,52075548,167580.0
16384,2,52076144,167580.0
16384,2,52076144,167580.0
16384,2,52076648,167580.0
16384,2,52065828,176384.0
16384,2,52066796,176384.0
16384,2,52067116,173260.0
16384,2,52068292,173260.0
16384,2,52068340,173260.0
16384,2,52070972,173260.0
16384,2,52071556,173260.0
16384,2,52072592,173260.0
16384,2,52072340,173260.0
16384,2,52068132,187084.0
16384,2,52066924,187084.0
16384,2,52068048,187084.0
16384,2,52068048,187084.0
16384,4,52229248,16384.0
16384,4,52150340,92800.0
16384,4,52117328,119936.0
16384,4,52110124,140672.0
16384,4,52071340,170368.0
16384,4,52076524,169264.0
16384,4,52075132,169264.0
16384,4,52075536,169264.0
16384,4,52064148,182832.0
16384,4,52060624,182832.0
16384,4,52062884,181272.0
16384,4,52062268,181272.0
16384,4,52060504,181528.0
16384,4,52052180,182808.0
