05-18 18:48:01,0,256,1,49921120,16384
05-18 18:48:02,1,256,1,49923572,17152
05-18 18:48:03,2,256,1,49916288,16640
05-18 18:48:04,3,256,1,49905564,16896
05-18 18:48:05,4,256,1,49902936,16128
05-18 18:48:06,0,256,2,49887012,16896
05-18 18:48:07,1,256,2,49899564,16896
05-18 18:48:08,2,256,2,49905128,16640
05-18 18:48:09,3,256,2,49894124,16896
05-18 18:48:10,4,256,2,49892764,17152
05-18 18:48:11,0,256,4,49891860,16896
05-18 18:48:12,1,256,4,49897936,16640
05-18 18:48:13,2,256,4,49907828,18944
05-18 18:48:14,3,256,4,49905136,16896
05-18 18:48:15,4,256,4,49892624,16640
05-18 18:48:16,0,256,8,49882088,16640
05-18 18:48:17,1,256,8,49892944,16896
05-18 18:48:18,2,256,8,49888516,16896
05-18 18:48:19,3,256,8,49897352,17920
05-18 18:48:20,4,256,8,49911524,16896
05-18 18:48:21,0,256,16,49909900,16640
05-18 18:48:22,1,256,16,49901892,16896
05-18 18:48:24,2,256,16,49897492,16640
05-18 18:48:25,3,256,16,49888756,16640
05-18 18:48:26,4,256,16,49894920,16896
05-18 18:48:27,0,256,32,49895076,17408
05-18 18:48:28,1,256,32,49896492,16128
05-18 18:48:29,2,256,32,49895228,14336
05-18 18:48:30,3,256,32,49874068,16640
05-18 18:48:31,4,256,32,49887504,17152
05-18 18:48:32,0,512,1,49899420,16896
05-18 18:48:33,1,512,1,49889640,16896
05-18 18:48:34,2,512,1,49879488,16640
05-18 18:48:35,3,512,1,49881200,16896
05-18 18:48:36,4,512,1,49859164,15872
05-18 18:48:37,0,512,2,49859328,17152
05-18 18:48:38,1,512,2,49860116,15872
05-18 18:48:39,2,512,2,49861280,16896
05-18 18:48:40,3,512,2,49851264,18688
05-18 18:48:41,4,512,2,49847524,15616
05-18 18:48:42,0,512,4,49853988,16896
05-18 18:48:43,1,512,4,49862556,17152
05-18 18:48:44,2,512,4,49850748,16128
05-18 18:48:45,3,512,4,49862160,16896
05-18 18:48:46,4,512,4,49850952,15616
05-18 18:48:47,0,512,8,49843984,16384
05-18 18:48:48,1,512,8,49860472,17920
05-18 18:48:49,2,512,8,49871240,16128
05-18 18:48:50,3,512,8,49865608,16640
05-18 18:48:51,4,512,8,49844636,18432
05-18 18:48:52,0,512,16,49849020,16384
05-18 18:48:53,1,512,16,49843720,16896
05-18 18:48:54,2,512,16,49860464,17408
05-18 18:48:55,3,512,16,49870512,17152
05-18 18:48:56,4,512,16,49843976,16384
05-18 18:48:57,0,512,32,49840056,16384
05-18 18:48:58,1,512,32,49842812,16640
05-18 18:48:59,2,512,32,49845648,16896
05-18 18:49:00,3,512,32,49835216,16896
05-18 18:49:02,4,512,32,49829528,16640
05-18 18:49:03,0,1024,1,49864336,16896
05-18 18:49:04,1,1024,1,49834244,16640
05-18 18:49:05,2,1024,1,49826580,16896
05-18 18:49:06,3,1024,1,49837668,16128
05-18 18:49:07,4,1024,1,49837580,16896
05-18 18:49:08,0,1024,2,49837328,14336
05-18 18:49:09,1,1024,2,49842488,17152
05-18 18:49:10,2,1024,2,49855492,15872
05-18 18:49:11,3,1024,2,49845536,16896
05-18 18:49:12,4,1024,2,49839396,15104
05-18 18:49:13,0,1024,4,49843532,16896
05-18 18:49:14,1,1024,4,49856368,19712
05-18 18:49:15,2,1024,4,49870740,15360
05-18 18:49:16,3,1024,4,49877328,17408
05-18 18:49:17,4,1024,4,49877360,16896
05-18 18:49:18,0,1024,8,49867532,16640
05-18 18:49:19,1,1024,8,49883296,14336
05-18 18:49:20,2,1024,8,49864428,15872
05-18 18:49:21,3,1024,8,49868260,16896
05-18 18:49:22,4,1024,8,49867852,16384
05-18 18:49:23,0,1024,16,49859044,17920
05-18 18:49:24,1,1024,16,49841132,17152
05-18 18:49:25,2,1024,16,49846488,14336
05-18 18:49:26,3,1024,16,49852404,20224
05-18 18:49:27,4,1024,16,49861280,16640
05-18 18:49:28,0,1024,32,49867036,15616
05-18 18:49:29,1,1024,32,49890436,16640
05-18 18:49:30,2,1024,32,49842448,16896
05-18 18:49:31,3,1024,32,49835116,17920
05-18 18:49:32,4,1024,32,49817412,16896
05-18 18:49:33,0,2048,1,49835596,16640
05-18 18:49:34,0,2048,1,49825768,53628
05-18 18:49:35,1,2048,1,49848412,17152
05-18 18:49:36,1,2048,1,49815296,55788
05-18 18:49:37,2,2048,1,49847804,15872
05-18 18:49:38,2,2048,1,49823168,54452
05-18 18:49:39,3,2048,1,49848576,14592
05-18 18:49:40,3,2048,1,49817080,54016
05-18 18:49:42,4,2048,1,49851612,16896
05-18 18:49:43,4,2048,1,49840796,54508
05-18 18:49:44,0,2048,2,49872444,15872
05-18 18:49:45,1,2048,2,49874240,17408
05-18 18:49:46,2,2048,2,49880912,16128
05-18 18:49:47,3,2048,2,49891896,16640
05-18 18:49:48,4,2048,2,49883756,15872
05-18 18:49:49,0,2048,4,49853928,16128
05-18 18:49:50,1,2048,4,49862976,16640
05-18 18:49:51,2,2048,4,49840676,16896
05-18 18:49:52,3,2048,4,49829320,16896
05-18 18:49:53,4,2048,4,49851732,17920
05-18 18:49:54,0,2048,8,49841620,16128
05-18 18:49:55,1,2048,8,49878000,16896
05-18 18:49:56,2,2048,8,49848316,17408
05-18 18:49:57,3,2048,8,49837928,18944
05-18 18:49:58,4,2048,8,49842948,16896
05-18 18:49:59,0,2048,16,49846304,16896
05-18 18:50:00,1,2048,16,49816220,16896
05-18 18:50:01,2,2048,16,49834176,15872
05-18 18:50:02,3,2048,16,49837696,16896
05-18 18:50:03,4,2048,16,49841792,16896
05-18 18:50:04,0,2048,32,49859756,16128
05-18 18:50:05,1,2048,32,49866644,17664
05-18 18:50:06,2,2048,32,49886624,16896
05-18 18:50:07,3,2048,32,49868532,14336
05-18 18:50:08,4,2048,32,49883772,14336
05-18 18:50:09,0,4096,1,49861496,17408
05-18 18:50:10,0,4096,1,49830896,55280
05-18 18:50:11,0,4096,1,49829920,60132
05-18 18:50:12,0,4096,1,49822864,62948
05-18 18:50:13,0,4096,1,49821604,69860
05-18 18:50:14,1,4096,1,49858896,16896
05-18 18:50:15,1,4096,1,49823268,54912
05-18 18:50:16,1,4096,1,49827292,60136
05-18 18:50:17,1,4096,1,49820236,62952
05-18 18:50:18,1,4096,1,49818888,71156
05-18 18:50:19,2,4096,1,49846712,17920
05-18 18:50:20,2,4096,1,49818968,54716
05-18 18:50:21,2,4096,1,49817988,60244
05-18 18:50:22,2,4096,1,49822396,63060
05-18 18:50:23,2,4096,1,49822820,69064
05-18 18:50:24,3,4096,1,49863752,16384
05-18 18:50:26,3,4096,1,49842816,54672
05-18 18:50:27,3,4096,1,49836284,60520
05-18 18:50:28,3,4096,1,49829396,63336
05-18 18:50:29,3,4096,1,49832924,68928
05-18 18:50:30,4,4096,1,49882360,16640
05-18 18:50:31,4,4096,1,49848616,55008
05-18 18:50:32,4,4096,1,49844424,60156
05-18 18:50:33,4,4096,1,49836920,62972
05-18 18:50:34,4,4096,1,49830216,73328
05-18 18:50:35,0,4096,2,49866908,16384
05-18 18:50:36,0,4096,2,49837196,66748
05-18 18:50:37,0,4096,2,49819204,77244
05-18 18:50:38,1,4096,2,49876544,16640
05-18 18:50:39,1,4096,2,49832156,64060
05-18 18:50:40,1,4096,2,49823228,74812
05-18 18:50:41,2,4096,2,49873024,16128
05-18 18:50:42,2,4096,2,49845780,65036
05-18 18:50:43,2,4096,2,49830436,74780
05-18 18:50:44,3,4096,2,49881176,16896
05-18 18:50:45,3,4096,2,49849392,66184
05-18 18:50:46,3,4096,2,49838764,76448
05-18 18:50:47,4,4096,2,49878976,16384
05-18 18:50:48,4,4096,2,49845312,65376
05-18 18:50:49,4,4096,2,49828724,76384
05-18 18:50:50,0,4096,4,49872748,16896
05-18 18:50:51,0,4096,4,49805092,93936
05-18 18:50:52,1,4096,4,49867144,16896
05-18 18:50:53,1,4096,4,49801356,92580
05-18 18:50:54,2,4096,4,49869980,17408
05-18 18:50:55,2,4096,4,49824400,85064
05-18 18:50:56,3,4096,4,49870928,16128
05-18 18:50:57,3,4096,4,49802132,88692
05-18 18:50:58,4,4096,4,49854648,15872
05-18 18:50:59,4,4096,4,49805016,89688
05-18 18:51:00,0,4096,8,49863740,16640
05-18 18:51:01,1,4096,8,49877804,18432
05-18 18:51:02,2,4096,8,49878480,17408
05-18 18:51:03,3,4096,8,49846996,16896
05-18 18:51:04,4,4096,8,49854728,16128
05-18 18:51:05,0,4096,16,49859500,16896
05-18 18:51:06,1,4096,16,49862708,16896
05-18 18:51:07,2,4096,16,49864016,15872
05-18 18:51:08,3,4096,16,49850528,17152
05-18 18:51:09,4,4096,16,49824784,17920
05-18 18:51:10,0,4096,32,49830860,16128
05-18 18:51:11,1,4096,32,49842608,15360
05-18 18:51:12,2,4096,32,49852340,17920
05-18 18:51:14,3,4096,32,49838112,16384
05-18 18:51:15,4,4096,32,49850128,17152
05-18 18:51:16,0,8192,1,49834856,18176
05-18 18:51:17,0,8192,1,49798676,52736
05-18 18:51:18,0,8192,1,49783900,66888
05-18 18:51:19,0,8192,1,49785632,68680
05-18 18:51:20,0,8192,1,49780448,70472
05-18 18:51:21,0,8192,1,49788180,70744
05-18 18:51:22,0,8192,1,49787940,72792
05-18 18:51:23,0,8192,1,49798548,75352
05-18 18:51:24,0,8192,1,49791328,78424
05-18 18:51:25,0,8192,1,49793536,81240
05-18 18:51:26,0,8192,1,49793440,83544
05-18 18:51:27,0,8192,1,49785632,85592
05-18 18:51:28,0,8192,1,49786608,88408
05-18 18:51:29,0,8192,1,49786356,90200
05-18 18:51:30,0,8192,1,49777140,100696
05-18 18:51:31,0,8192,1,49775336,106072
05-18 18:51:32,1,8192,1,49846692,16896
05-18 18:51:33,1,8192,1,49812860,52992
05-18 18:51:34,1,8192,1,49810696,70440
05-18 18:51:35,1,8192,1,49812236,72232
05-18 18:51:36,1,8192,1,49814156,74024
05-18 18:51:37,1,8192,1,49814824,73768
05-18 18:51:38,1,8192,1,49815436,75816
05-18 18:51:39,1,8192,1,49812428,78376
05-18 18:51:40,1,8192,1,49809620,81448
05-18 18:51:41,1,8192,1,49800736,84264
05-18 18:51:42,1,8192,1,49801740,86568
05-18 18:51:43,1,8192,1,49802464,88616
05-18 18:51:44,1,8192,1,49802056,90664
05-18 18:51:45,1,8192,1,49796588,92456
05-18 18:51:46,1,8192,1,49793860,102136
05-18 18:51:47,1,8192,1,49789724,106504
05-18 18:51:48,2,8192,1,49857768,16896
05-18 18:51:49,2,8192,1,49827220,53248
05-18 18:51:50,2,8192,1,49823900,69772
05-18 18:51:51,2,8192,1,49820380,71564
05-18 18:51:52,2,8192,1,49822184,73356
05-18 18:51:53,2,8192,1,49826044,71928
05-18 18:51:54,2,8192,1,49827044,74232
05-18 18:51:55,2,8192,1,49823000,76792
05-18 18:51:56,2,8192,1,49819180,79608
05-18 18:51:57,2,8192,1,49822808,82424
05-18 18:51:58,2,8192,1,49824516,84984
05-18 18:51:59,2,8192,1,49818800,87032
05-18 18:52:00,2,8192,1,49820384,89848
05-18 18:52:01,2,8192,1,49818728,91640
05-18 18:52:02,2,8192,1,49809240,99576
05-18 18:52:03,2,8192,1,49812368,103248
05-18 18:52:04,3,8192,1,49870704,16128
05-18 18:52:05,3,8192,1,49851180,52736
05-18 18:52:06,3,8192,1,49838116,67196
05-18 18:52:07,3,8192,1,49840760,68988
05-18 18:52:08,3,8192,1,49843360,70780
05-18 18:52:09,3,8192,1,49845536,72572
05-18 18:52:10,3,8192,1,49846520,74876
05-18 18:52:12,3,8192,1,49843904,77436
05-18 18:52:13,3,8192,1,49836684,80252
05-18 18:52:14,3,8192,1,49839164,83068
05-18 18:52:15,3,8192,1,49839668,85628
05-18 18:52:16,3,8192,1,49834260,87676
05-18 18:52:17,3,8192,1,49834528,89724
05-18 18:52:18,3,8192,1,49837304,91516
05-18 18:52:19,3,8192,1,49830248,98428
05-18 18:52:20,3,8192,1,49823728,102268
05-18 18:52:21,4,8192,1,49905008,13824
05-18 18:52:22,4,8192,1,49882772,52736
05-18 18:52:23,4,8192,1,49859876,69664
05-18 18:52:24,4,8192,1,49861244,71456
05-18 18:52:25,4,8192,1,49862280,73248
05-18 18:52:26,4,8192,1,49853908,73540
05-18 18:52:27,4,8192,1,49857096,75844
05-18 18:52:28,4,8192,1,49857608,78404
05-18 18:52:29,4,8192,1,49850916,81476
05-18 18:52:30,4,8192,1,49851124,84292
05-18 18:52:31,4,8192,1,49850568,86596
05-18 18:52:32,4,8192,1,49850060,88644
05-18 18:52:33,4,8192,1,49842768,90692
05-18 18:52:34,4,8192,1,49842768,92484
05-18 18:52:35,4,8192,1,49836292,102724
05-18 18:52:36,4,8192,1,49837348,106924
05-18 18:52:37,0,8192,2,49893644,15872
05-18 18:52:38,0,8192,2,49864288,73320
05-18 18:52:39,0,8192,2,49863028,82536
05-18 18:52:40,0,8192,2,49861036,87912
05-18 18:52:41,0,8192,2,49858036,94568
05-18 18:52:42,0,8192,2,49845172,101820
05-18 18:52:43,0,8192,2,49841644,107196
05-18 18:52:44,0,8192,2,49834336,116156
05-18 18:52:45,1,8192,2,49911268,15104
05-18 18:52:46,1,8192,2,49866688,73044
05-18 18:52:47,1,8192,2,49852432,82004
05-18 18:52:48,1,8192,2,49860952,87636
05-18 18:52:49,1,8192,2,49853500,94036
05-18 18:52:50,1,8192,2,49844948,99564
05-18 18:52:51,1,8192,2,49837072,105452
05-18 18:52:52,1,8192,2,49836104,114668
05-18 18:52:53,2,8192,2,49899304,16640
05-18 18:52:54,2,8192,2,49845540,69732
05-18 18:52:55,2,8192,2,49837396,78948
05-18 18:52:56,2,8192,2,49832136,84324
05-18 18:52:57,2,8192,2,49828556,90980
05-18 18:52:58,2,8192,2,49822760,97268
05-18 18:52:59,2,8192,2,49810016,103412
05-18 18:53:00,2,8192,2,49808548,112372
05-18 18:53:01,3,8192,2,49892248,15872
05-18 18:53:02,3,8192,2,49863308,63628
05-18 18:53:03,3,8192,2,49857488,72588
05-18 18:53:04,3,8192,2,49853772,77964
05-18 18:53:05,3,8192,2,49840888,84364
05-18 18:53:06,3,8192,2,49836840,91652
05-18 18:53:07,3,8192,2,49829752,99332
05-18 18:53:08,3,8192,2,49823516,108292
05-18 18:53:09,4,8192,2,49892368,17152
05-18 18:53:11,4,8192,2,49847228,70036
05-18 18:53:12,4,8192,2,49830648,78996
05-18 18:53:13,4,8192,2,49835188,84372
05-18 18:53:14,4,8192,2,49819312,91028
05-18 18:53:15,4,8192,2,49822568,94564
05-18 18:53:16,4,8192,2,49818432,100964
05-18 18:53:17,4,8192,2,49810640,109924
05-18 18:53:18,0,8192,4,49896836,17408
05-18 18:53:19,0,8192,4,49841544,100988
05-18 18:53:20,0,8192,4,49823408,120188
05-18 18:53:21,0,8192,4,49812600,134780
05-18 18:53:22,0,8192,4,49796604,145276
05-18 18:53:23,1,8192,4,49914256,16128
05-18 18:53:24,1,8192,4,49864788,83376
05-18 18:53:25,1,8192,4,49849908,101280
05-18 18:53:26,1,8192,4,49846244,110496
05-18 18:53:27,1,8192,4,49827464,128776
05-18 18:53:28,1,8192,4,49808872,142768
05-18 18:53:29,2,8192,4,49926440,16896
05-18 18:53:30,2,8192,4,49873528,85728
05-18 18:53:31,2,8192,4,49841600,118752
05-18 18:53:32,2,8192,4,49813204,135656
