256,1,57359000,22784
256,1,57356236,13824
256,1,57351528,15616
256,1,57345292,16384
256,1,57350696,14336
256,2,57353776,15360
256,2,57345748,12032
256,2,57352388,15360
256,2,57334280,15616
256,2,57341328,15872
256,4,57364364,16896
256,4,57374272,16384
256,4,57376960,16128
256,4,57365256,15616
256,4,57350816,16128
256,8,57348928,15872
256,8,57363496,13312
256,8,57384364,16640
256,8,57398996,13056
256,8,57389876,16640
256,16,57374796,13056
256,16,57370644,15872
256,16,57365704,15360
256,16,57362572,13824
256,16,57373596,17408
256,32,57370296,13824
256,32,57378436,16128
256,32,57364556,12544
256,32,57383240,16896
256,32,57383000,14848
512,1,57391060,15872
512,1,57376228,16896
512,1,57377104,13056
512,1,57371872,15616
512,1,57369860,15104
512,2,57377372,15616
512,2,57367924,15360
512,2,57369340,14336
512,2,57355136,15360
512,2,57338440,14592
512,4,57322188,13056
512,4,57323332,14336
512,4,57324316,15616
512,4,57321008,16896
512,4,57327468,15360
512,8,57345460,14336
512,8,57322204,13824
512,8,57355964,16128
512,8,57353128,15872
512,8,57355976,13824
512,16,57353308,13824
512,16,57332040,15104
512,16,57350876,16896
512,16,57325088,14848
512,16,57331744,13824
512,32,57336996,14080
512,32,57355768,16128
512,32,57369980,18176
512,32,57373420,13312
512,32,57378972,15360
1024,1,57369672,15872
1024,1,57367296,15104
1024,1,57383496,15360
1024,1,57398228,15104
1024,1,57396480,15104
1024,2,57406324,12544
1024,2,57402768,14336
1024,2,57398640,11776
1024,2,57406304,14336
1024,2,57408012,15872
1024,4,57424512,14336
1024,4,57430372,16384
1024,4,57443808,14336
1024,4,57446632,13824
1024,4,57436248,16640
1024,8,57426544,15616
1024,8,57437864,16384
1024,8,57403800,15616
1024,8,57382916,16128
1024,8,57386420,12032
1024,16,57395552,16128
1024,16,57383696,16384
1024,16,57380384,16384
1024,16,57385876,16896
1024,16,57345052,15616
1024,32,57359608,16896
1024,32,57348040,15360
1024,32,57368056,12544
1024,32,57371652,15616
1024,32,57375192,15360
2048,1,57379612,15616
2048,1,57350204,53892
2048,1,57339820,13824
2048,1,57337784,56716
2048,1,57345716,13056
2048,1,57319664,56960
2048,1,57338188,16128
2048,1,57341120,56552
2048,1,57380488,14336
2048,1,57373652,56556
2048,2,57391012,15872
2048,2,57404912,17920
2048,2,57405172,15360
2048,2,57408052,16128
2048,2,57404092,13824
2048,4,57410996,15360
2048,4,57414100,16128
2048,4,57435492,13312
2048,4,57417936,13824
2048,4,57421952,15616
2048,8,57406256,17408
2048,8,57389836,14336
2048,8,57411032,16896
2048,8,57422932,13824
2048,8,57395944,16896
2048,16,57351604,16896
2048,16,57345100,19200
2048,16,57334148,16640
2048,16,57350600,13312
2048,16,57358628,15616
2048,32,57366152,14336
2048,32,57366732,15104
2048,32,57359916,12032
2048,32,57381984,13824
2048,32,57414524,15360
4096,1,57392016,13568
4096,1,57361996,55040
4096,1,57357288,60048
4096,1,57353256,62864
4096,1,57345168,68868
4096,1,57370872,16640
