05-18 19:30:07,0,256,49809516,17152
05-18 19:30:08,1,256,49791436,16896
05-18 19:30:09,2,256,49786464,16896
05-18 19:30:10,3,256,49777008,16896
05-18 19:30:11,4,256,49780876,18176
05-18 19:30:12,0,512,49785928,16640
05-18 19:30:13,1,512,49783504,16896
05-18 19:30:14,2,512,49774496,16896
05-18 19:30:15,3,512,49782156,17408
05-18 19:30:16,4,512,49774892,16640
05-18 19:30:17,0,1024,49783724,16640
05-18 19:30:18,1,1024,49782352,16896
05-18 19:30:19,2,1024,49796540,17408
05-18 19:30:20,3,1024,49803660,15360
05-18 19:30:21,4,1024,49810660,16896
05-18 19:30:22,0,2048,49830936,16896
05-18 19:30:23,0,2048,49814648,51200
05-18 19:30:25,1,2048,49813624,17920
05-18 19:30:26,1,2048,49812132,51456
05-18 19:30:27,2,2048,49834472,16896
05-18 19:30:28,2,2048,49819256,51160
05-18 19:30:29,3,2048,49847620,17408
05-18 19:30:30,3,2048,49833400,50944
05-18 19:30:31,4,2048,49850084,16640
05-18 19:30:32,4,2048,49819160,50432
05-18 19:30:33,0,4096,49840012,16896
05-18 19:30:34,0,4096,49816324,52200
05-18 19:30:35,0,4096,49817332,53480
05-18 19:30:36,0,4096,49820776,54504
05-18 19:30:37,1,4096,49845556,15360
05-18 19:30:38,1,4096,49821336,51968
05-18 19:30:39,1,4096,49825360,53248
05-18 19:30:40,1,4096,49825880,54272
05-18 19:30:41,2,4096,49858800,17664
05-18 19:30:42,2,4096,49843916,51968
05-18 19:30:43,2,4096,49843680,53504
05-18 19:30:44,2,4096,49844460,54528
05-18 19:30:45,3,4096,49877820,15360
05-18 19:30:46,3,4096,49849540,52224
05-18 19:30:47,3,4096,49846956,53504
05-18 19:30:48,3,4096,49846672,54528
05-18 19:30:49,4,4096,49884628,15104
05-18 19:30:50,4,4096,49848884,52736
05-18 19:30:51,4,4096,49846232,53760
05-18 19:30:52,4,4096,49842252,54784
05-18 19:30:53,0,8192,49871472,16896
05-18 19:30:54,0,8192,49853744,55552
05-18 19:30:55,0,8192,49855604,57344
05-18 19:30:56,0,8192,49854872,58880
05-18 19:30:57,0,8192,49850652,60416
05-18 19:30:58,0,8192,49850956,61440
05-18 19:30:59,0,8192,49847884,62464
05-18 19:31:00,0,8192,49849044,63488
05-18 19:31:01,0,8192,49849300,64512
05-18 19:31:02,0,8192,49846760,65536
05-18 19:31:03,0,8192,49839908,66560
05-18 19:31:04,0,8192,49842020,67584
05-18 19:31:05,0,8192,49842712,68864
05-18 19:31:06,0,8192,49843484,70400
05-18 19:31:07,0,8192,49841524,72192
05-18 19:31:08,0,8192,49830896,78484
05-18 19:31:09,1,8192,49887496,16640
05-18 19:31:10,1,8192,49863292,55296
05-18 19:31:11,1,8192,49855736,57344
05-18 19:31:12,1,8192,49860448,58880
05-18 19:31:13,1,8192,49861556,60160
05-18 19:31:14,1,8192,49861412,60852
05-18 19:31:15,1,8192,49861800,61876
05-18 19:31:16,1,8192,49860816,62900
05-18 19:31:17,1,8192,49867512,63924
05-18 19:31:18,1,8192,49859608,64948
05-18 19:31:19,1,8192,49860616,65972
05-18 19:31:21,1,8192,49865624,66996
05-18 19:31:22,1,8192,49865880,68276
05-18 19:31:23,1,8192,49865656,70068
05-18 19:31:24,1,8192,49865656,71604
05-18 19:31:25,1,8192,49855220,77788
05-18 19:31:26,2,8192,49920480,16896
05-18 19:31:27,2,8192,49892084,54784
05-18 19:31:28,2,8192,49888628,56832
05-18 19:31:29,2,8192,49889780,58368
05-18 19:31:30,2,8192,49881984,59392
05-18 19:31:31,2,8192,49882508,60672
05-18 19:31:32,2,8192,49881916,61696
05-18 19:31:33,2,8192,49875420,62720
05-18 19:31:34,2,8192,49874104,63488
05-18 19:31:35,2,8192,49874320,64512
05-18 19:31:36,2,8192,49870288,65536
05-18 19:31:37,2,8192,49870040,66560
05-18 19:31:38,2,8192,49868580,67840
05-18 19:31:39,2,8192,49868636,69632
05-18 19:31:40,2,8192,49861120,71168
05-18 19:31:41,2,8192,49857632,77624
05-18 19:31:42,3,8192,49910708,16640
05-18 19:31:43,3,8192,49882316,55552
05-18 19:31:44,3,8192,49866440,57600
05-18 19:31:45,3,8192,49866620,59136
05-18 19:31:46,3,8192,49865620,60416
05-18 19:31:47,3,8192,49865368,61440
05-18 19:31:48,3,8192,49863604,62464
05-18 19:31:49,3,8192,49864360,63488
05-18 19:31:50,3,8192,49864836,64512
05-18 19:31:51,3,8192,49862944,65536
05-18 19:31:52,3,8192,49862488,66560
05-18 19:31:53,3,8192,49863732,67584
05-18 19:31:54,3,8192,49865500,68864
05-18 19:31:55,3,8192,49866508,71424
05-18 19:31:56,3,8192,49873460,72960
