InputSize,Threads,task_clock_msec,context_switches,cpu_migrations,page_faults,cycles,instructions,branches,branch_misses,time_elapsed_sec,user_time_sec,sys_time_sec
2000,8,7878.93,10266,31,22052,13614880510,6575044897,573331809,49079471,0.96553518,7.512788,0.388661
2000,16,8878.9,11733,59,22081,16514208462,6460288089,573201319,34039385,0.692955467,8.57957,0.317429
2000,16,8883.13,11479,58,22133,16794028382,6446378201,572805930,33283291,0.69067461,8.576247,0.319493
2000,16,9601.72,11243,61,21980,17970993972,6591128801,578511624,34971662,0.741963732,9.320791,0.295595
2000,16,9311.01,11661,58,22105,17476632140,6693262405,617788423,38911992,0.721402498,8.98119,0.347278
2000,16,8978.4,11117,52,21227,17121244513,6381042492,538044656,31895268,0.702893604,8.722893,0.266294
2000,32,15303.66,11257,1131,26593,30163422629,7049268023,689890716,30143592,0.742453463,14.964718,0.325189
2000,32,14739.35,11857,1092,24496,29013394919,7222864537,696120822,30496655,0.740740688,14.321578,0.40399
2000,32,16338.58,10896,1104,25354,32094617524,7268383455,728448820,30269239,0.768607723,15.956655,0.367632
2000,32,14032.15,9722,919,25302,27407563410,7252406867,697161816,28519351,0.679879047,13.702052,0.31335
2000,32,14542.91,11218,1110,24606,28592604889,7020240130,679149707,29537654,0.7350808,14.176974,0.350964
2000,64,20106.02,15438,1532,26639,39628726102,7538648640,778472030,31640536,0.909709623,19.706352,0.388218
2000,64,21652.82,16199,1580,29614,42738892590,8279591803,879005077,32946063,0.973213744,21.223392,0.416615
2000,64,21774.61,17126,1662,26731,43000186664,8055401188,870954507,32661900,0.971505826,21.304221,0.456311
2000,64,19306.78,13850,1446,27716,38034139161,7411884558,749680516,30942126,0.887955866,18.932357,0.360873
2000,64,14725.06,14433,1444,25908,28926574815,7267290168,700750363,30584552,0.762899131,14.37388,0.337654
2000,128,24100.1,17914,1564,29713,47634384415,8068950937,880292192,34055314,1.031481839,23.710401,0.375402
2000,128,22679.73,25428,1715,26373,44695264890,7614796672,787329525,32206191,1.003058003,22.211149,0.454103
2000,128,23611.57,17244,1754,32710,46449650933,8512672278,944965504,34797411,1.047764631,23.067548,0.533984
2000,128,18704.98,18991,1638,29475,36805603880,7835225121,812555387,34706065,0.889913816,18.243227,0.45013
2000,128,23442.49,21332,1690,27977,46294698393,7700191135,800286930,31251104,0.99280998,22.990103,0.440947
3000,1,10966.69,120148,27,30986,15614357555,11875504915,771524995,49315421,6.340547568,8.541041,2.620233
3000,1,10733.9,119791,18,28481,15238035640,11669443775,725706129,44262551,6.241260125,8.362927,2.568957
3000,1,10745.46,119140,28,28778,15258362779,11704771196,734084979,45610047,6.254951619,8.34154,2.600925
3000,1,10853.88,120264,24,28800,15542099258,11828168343,762098134,48777343,6.330041938,8.559727,2.485615
3000,1,10740.82,118876,19,28767,15223101388,11675653190,728643760,45334635,6.245086561,8.270206,2.668473
3000,2,9390.07,60532,28,28703,14996005627,11247380403,659630614,49950482,3.355918369,8.134185,1.360638
3000,2,9058.27,60544,38,27901,14623614626,11035465853,619098399,39900397,3.312293248,7.771561,1.388687
3000,2,9353.93,60214,19,28411,15285022715,11173073533,648202200,46132309,3.409790923,8.101229,1.352238
3000,2,9639.54,60056,25,27475,15325011340,11164629578,644963974,46901967,3.445913917,8.367742,1.381419
3000,2,9523.05,59996,23,28376,15210358337,11153059302,643853898,45480733,3.403074425,8.230359,1.399617
3000,4,9390.2,30414,29,27054,15910984600,10962973408,611507679,47956922,1.971958001,8.657721,0.788713
3000,4,9308.36,30702,22,26539,16077931377,11020246016,621925784,49253563,1.983801754,8.647624,0.71173
3000,4,9539.17,30204,24,27128,16251457852,11353430501,637350603,51839355,1.992937106,8.818564,0.770846
3000,4,9248.72,30712,39,26548,15799597748,11193245949,606362009,48747004,1.976045942,8.595417,0.697415
3000,4,9087.96,32118,33,27436,15770375454,11246757444,616083006,46802300,1.928900039,8.419833,0.718741
3000,8,10776.47,17551,33,28538,19403228841,11074860347,632374285,51021501,1.351084415,10.335734,0.464245
3000,8,10611.42,25815,38,26542,19456085465,10936407071,601911142,47358830,1.343582103,10.187792,0.451804
3000,8,9730.09,16084,41,25252,17344955105,11442866621,658112698,49406104,1.201833147,9.29256,0.46738
3000,8,9532.47,15826,51,24954,17151724066,11180442608,604981702,45727237,1.203051078,9.081223,0.47902
3000,8,10344.65,16691,46,27850,18714985017,11193674939,655590796,51033961,1.303592796,9.884797,0.486533
3000,16,14331.73,20568,52,25104,26669337267,11359039821,683587718,39724722,1.028693889,13.974449,0.379351
3000,16,12264.14,19393,72,23175,23368944517,29571231278,3618756572,27482937,0.919808852,11.838629,0.453717
3000,16,13055.77,19477,64,24465,24829110344,11024672972,622306106,33385825,0.976866475,12.690647,0.38812
3000,16,12233.34,20207,92,25474,23142276298,11089252478,635255542,34345041,0.915889376,11.852954,0.400975
3000,16,11991.88,19833,71,26139,22833249858,11156410901,647895602,35568206,0.893137388,11.623877,0.388694
3000,32,18972.37,12399,859,25559,37352947112,11526319053,712476611,27573539,0.840372993,18.624071,0.331072
3000,32,19775.38,13561,1079,27649,38962310297,11793587770,768978930,29279163,0.870731724,19.36748,0.39338
3000,32,19487.14,12090,1112,30358,38348408734,12344404442,877729240,31376685,0.849483974,19.040236,0.432392
3000,32,18291.12,13796,1123,27710,36008736094,11749960764,762681534,29772818,0.821949625,17.902085,0.376843
3000,32,21422.17,13059,1042,28103,42233726880,12050750116,816404146,29937640,0.91990383,21.000859,0.409753
3000,64,21009.5,16532,1366,29053,41463178345,12368704571,819073100,29471126,0.90231227,20.609723,0.386275
3000,64,22608.2,16659,1372,27019,44680356640,11889861103,732335716,26890148,0.964228414,22.204296,0.390128
3000,64,22170.56,20903,1417,28311,43931288234,11937695066,790627340,29817075,0.952060422,21.747074,0.410944
3000,64,25834.88,25239,1464,28643,51062393915,12730538783,894776629,30205252,1.06185286,25.301367,0.519002
