input,time1,time2,time3,time4,time5
256,62,64,62,63,64
512,116,117,116,116,115
1024,304,304,304,302,303
2048,1043,1042,1040,1043,1042
4096,3950,3960,3953,3947,3952
8192,15486,15495,15504,15500,15494
16384,61494,61535,61518,61539,61509
