input,time1,time2,time3,time4,time5
256,96,96,94,94,94
512,159,179,169,176,154
1024,261,261,263,279,264
2048,784,803,785,806,791
4096,2888,2893,2898,2879,2905
8192,11322,11324,11304,11337,11324
16384,44865,44945,44916,44910,44931
32768,179073,179056,178932
