input,time1,time2,time3,time4,time5
256,114,94,93,113,96
512,152,178,178,177,160
1024,263,262,284,279,280
2048,807,802,781,786,804
4096,2891,2884,2890,2895,2889
8192,11300,11310,11300,11281,11320
16384,44910,44891,44868,44933,44896
