input,thread,time1,time2,time3,time4,time5
256,1,27,27,28,29,29
256,2,32,27,29,28,28
256,4,28,29,29,28,30
256,8,29,29,31,30,30
256,16,29,30,28,29,29
256,32,27,28,29,29,29
512,1,45,49,50,50,49
512,2,39,40,38,38,40
512,4,43,36,36,36,36
512,8,38,36,37,46,40
512,16,37,36,34,38,36
512,32,38,37,37,39,37
1024,1,122,121,121,120,119
1024,2,77,77,76,78,79
1024,4,58,62,58,59,64
1024,8,53,51,56,52,55
1024,16,49,56,48,57,51
1024,32,56,61,55,47,51
2048,1,395,398,397,402,397
2048,2,220,216,219,222,220
2048,4,133,130,137,137,141
2048,8,101,94,101,96,108
2048,16,98,102,90,103,90
2048,32,98,96,101,101,104
4096,1,1499,1504,1497,1501,1497
4096,2,771,770,773,767,772
4096,4,443,464,417,475,427
4096,8,277,293,288,263,260
4096,16,208,220,217,213,217
4096,32,194,187,176,186,177
8192,1,5863,5856,5857,5860,5863
8192,2,2944,2946,2942,2949,2956
8192,4,1703,1560,1527,1577,1913
8192,8,998,869,833,937,876
8192,16,643,589,604,610,604
8192,32,435,418,441,429,441
16384,1,23163,23104,23163,23410,23185
16384,2,11600,11582,11582,11591,11602
16384,4,7094,6017,5868,6081,5954
16384,8,4158,4674,3365,3498,3102
16384,16,1989,2016,2017,1983,2013
16384,32,1301,1299,1347,1305,1285
