input,time1,time2,time3,time4,time5
256,63,63,63,63,64
512,115,115,115,116,116
1024,303,305,305,304,304
2048,1044,1043,1041,1038,1039
4096,3952,3953,3954,3952,3945
8192,15497,15496,15493,15520,15480
16384,61529,61512,61597,61524,61523
32768,244937,244467,244723
