input,thread,time1,time2,time3,time4,time5
256,1,96,99,101,95,97
256,2,92,92,89,90,90
256,4,94,91,95,101,100
256,8,106,104,102,103,105
256,16,104,97,97,102,105
256,32,114,113,108,104,106
512,1,154,151,153,150,151
512,2,121,123,126,121,121
512,4,128,131,132,133,131
512,8,125,135,142,145,141
512,16,156,154,152,160,152
512,32,161,164,150,155,154
1024,1,341,342,340,340,338
1024,2,226,230,220,226,235
1024,4,200,169,178,193,197
1024,8,183,176,176,196,191
1024,16,199,211,200,216,203
1024,32,267,247,243,259,269
2048,1,1072,1082,1078,1083,1079
2048,2,586,591,587,587,591
2048,4,381,533,379,358,380
2048,8,289,280,310,334,311
2048,16,280,275,299,276,281
2048,32,331,359,365,353,350
4096,1,3995,4000,3998,3998,4000
4096,2,2051,2045,2043,2051,2038
4096,4,1185,1176,1118,1231,1308
4096,8,665,777,745,663,694
4096,16,487,487,499,486,454
4096,32,469,510,457,444,496
8192,1,15624,15625,15622,15625,15617
8192,2,7868,7862,7872,7863,7873
8192,4,4182,4383,4179,4104,4893
8192,8,2415,2379,2239,2313,2490
8192,16,1351,1303,1431,1305,1445
8192,32,876,842,838,939,932
16384,1,61810,61813,61908,61973,61870
16384,2,31012,31034,31012,30979,31054
16384,4,16591,24806,15842,16191,15977
16384,8,10623,8387,8323,8468,9056
16384,16,5230,4924,4400,4752,4594
16384,32,2379,2224,2399,2671,2265
32768,1,245861,245963,245708
32768,2,122911,123109,123109
32768,4,67660,66751,62557
32768,8,33818,34700,32414
32768,16,21214,19692,20034
32768,32,8442,9854,8836
