input,time1,time2,time3,time4,time5
256,90,93,86,94,95
512,177,175,163,156,169
1024,261,280,260,265,259
2048,780,787,789,792,789
4096,2893,2893,2918,2889,2893
8192,11285,11306,11334,11304,11310
16384,44934,44935,44872,44912,44883
