input,time1,time2,time3,time4,time5
256,61,62,62,62,62
512,113,114,114,112,114
1024,301,302,302,302,303
2048,1036,1039,1039,1039,1038
4096,3936,3941,3942,3942,3920
8192,15479,15479,15471,15506,15482
16384,61525,61540,61444,61521,61514
