input,time1,time2,time3,time4,time5
256,93,96,95,80,95
512,169,165,177,157,151
1024,278,263,263,262,263
2048,788,792,805,792,799
4096,2885,2923,2899,2888,2884
8192,11303,11293,11301,11298,11299
16384,44930,44907,44869,44854,44900
32768,178923,178875,179012
