input,thread,time1,time2,time3,time4,time5
256,1,85,96,98,94,92
256,2,79,87,85,84,83
256,4,81,79,84,82,82
256,8,85,88,90,93,78
256,16,99,104,99,91,100
256,32,110,110,108,112,109
512,1,150,152,171,144,153
512,2,115,118,124,118,118
512,4,109,108,105,116,107
512,8,112,107,118,108,117
512,16,155,184,153,156,147
512,32,156,159,165,149,159
1024,1,343,336,341,341,344
1024,2,210,229,218,218,220
1024,4,158,180,166,161,162
1024,8,156,142,149,144,150
1024,16,186,171,192,191,183
1024,32,272,264,254,265,253
2048,1,1081,1068,1080,1073,1081
2048,2,583,576,585,581,583
2048,4,365,361,353,350,353
2048,8,241,242,243,254,268
2048,16,284,270,286,252,260
2048,32,338,352,355,381,336
4096,1,3993,3990,3998,4007,3994
4096,2,2036,2039,2036,2042,2038
4096,4,1115,1218,1167,1149,1120
4096,8,708,696,654,632,685
4096,16,530,476,436,492,454
4096,32,442,451,442,484,507
8192,1,15585,15587,15620,15630,15557
8192,2,7847,7854,7841,7857,7861
8192,4,4442,5273,4301,6182,4281
8192,8,2695,2306,2217,2232,2453
8192,16,1342,1410,1633,1270,1476
8192,32,919,956,908,845,943
16384,1,61828,61886,61795,61875,61831
16384,2,30913,30977,30994,30964,31000
16384,4,16694,16890,17116,16939,16839
16384,8,8244,9553,8833,8155,10775
16384,16,4837,4614,4293,4624,4984
16384,32,2404,2474,2426,2857,2269
32768,1,245750,245685,245695
32768,2,123008,123286,122748
32768,4,64821,64004,70324
32768,8,34947,33573,31610
32768,16,18509,18906,18609
32768,32,8462,8576,11520
