input,thread,time1,time2,time3,time4,time5
256,1,34,31,33,29,31
256,2,39,37,43,38,42
256,4,45,37,33,38,36
256,8,46,41,46,46,43
256,16,38,45,43,44,44
256,32,38,44,43,43,37
512,1,51,53,54,52,55
512,2,46,50,43,48,49
512,4,52,52,52,52,49
512,8,47,45,47,54,46
512,16,52,57,47,41,44
512,32,55,57,57,43,44
1024,1,122,121,123,125,124
1024,2,85,79,90,84,86
1024,4,72,73,71,67,73
1024,8,67,76,75,72,65
1024,16,69,67,68,71,67
1024,32,68,70,69,68,70
2048,1,403,402,400,400,397
2048,2,228,229,230,224,224
2048,4,164,164,161,162,159
2048,8,136,136,125,137,132
2048,16,112,108,119,113,116
2048,32,104,108,103,101,104
4096,1,1504,1509,1505,1505,1505
4096,2,783,781,780,781,784
4096,4,453,445,448,449,433
4096,8,308,292,322,312,303
4096,16,209,213,223,208,214
4096,32,189,196,169,205,185
8192,1,5868,5866,5860,5871,5865
8192,2,2972,2960,2962,2964,2967
8192,4,1694,1603,1591,1701,1536
8192,8,943,946,887,878,937
8192,16,614,545,610,588,574
8192,32,419,445,430,440,431
16384,1,23195,23191,23178,23187,23175
16384,2,11604,11616,11617,11602,11608
16384,4,5890,6288,6201,7502,5941
16384,8,3642,3300,3652,3974,3350
16384,16,1752,1993,1760,1906,1798
16384,32,1294,1316,1284,1318,1307
