input,time1,time2,time3,time4,time5
256,63,61,62,62,61
512,114,113,114,115,114
1024,303,304,303,303,303
2048,1035,1040,1040,1041,1040
4096,3952,3946,3946,3944,3945
8192,15472,15502,15502,15486,15491
16384,61489,61573,61495,61512,61551
32768,244783,244880,245002
