2000,32,MiB Mem :  15690.9 total,   6159.2 free,   7397.0 used,   3118.7 buff/cache     
2000,32,MiB Mem :  15690.9 total,   6134.0 free,   7421.9 used,   3124.8 buff/cache     
2000,32,MiB Mem :  15690.9 total,   6130.4 free,   7425.7 used,   3124.8 buff/cache     
3000,1,MiB Mem :  15690.9 total,   6119.8 free,   7436.2 used,   3116.9 buff/cache     
3000,1,MiB Mem :  15690.9 total,   6160.0 free,   7396.0 used,   3116.8 buff/cache     
3000,1,MiB Mem :  15690.9 total,   6188.2 free,   7367.7 used,   3117.2 buff/cache     
3000,1,MiB Mem :  15690.9 total,   6185.9 free,   7370.2 used,   3117.5 buff/cache     
3000,1,MiB Mem :  15690.9 total,   6159.5 free,   7396.4 used,   3117.6 buff/cache     
3000,2,MiB Mem :  15690.9 total,   6161.4 free,   7394.7 used,   3117.0 buff/cache     
3000,2,MiB Mem :  15690.9 total,   6162.9 free,   7393.2 used,   3117.0 buff/cache     
3000,2,MiB Mem :  15690.9 total,   6165.5 free,   7390.4 used,   3117.2 buff/cache     
3000,2,MiB Mem :  15690.9 total,   6167.5 free,   7388.5 used,   3113.7 buff/cache     
3000,2,MiB Mem :  15690.9 total,   6169.7 free,   7386.2 used,   3113.8 buff/cache     
3000,4,MiB Mem :  15690.9 total,   6158.9 free,   7396.8 used,   3116.0 buff/cache     
3000,4,MiB Mem :  15690.9 total,   6157.8 free,   7398.1 used,   3115.5 buff/cache     
3000,4,MiB Mem :  15690.9 total,   6151.0 free,   7404.9 used,   3115.5 buff/cache     
3000,4,MiB Mem :  15690.9 total,   6172.2 free,   7383.7 used,   3115.5 buff/cache     
3000,4,MiB Mem :  15690.9 total,   6230.9 free,   7325.0 used,   3115.6 buff/cache     
3000,8,MiB Mem :  15690.9 total,   6264.0 free,   7291.9 used,   3113.5 buff/cache     
3000,8,MiB Mem :  15690.9 total,   6250.1 free,   7305.8 used,   3113.5 buff/cache     
3000,8,MiB Mem :  15690.9 total,   6235.2 free,   7320.9 used,   3113.3 buff/cache     
3000,8,MiB Mem :  15690.9 total,   6233.8 free,   7321.9 used,   3113.5 buff/cache     
3000,8,MiB Mem :  15690.9 total,   6239.1 free,   7316.8 used,   3113.4 buff/cache     
3000,16,MiB Mem :  15690.9 total,   6218.9 free,   7337.0 used,   3113.3 buff/cache     
3000,16,MiB Mem :  15690.9 total,   6216.5 free,   7339.4 used,   3113.3 buff/cache     
3000,16,MiB Mem :  15690.9 total,   6210.0 free,   7346.1 used,   3113.2 buff/cache     
3000,16,MiB Mem :  15690.9 total,   6225.9 free,   7330.0 used,   3113.4 buff/cache     
3000,16,MiB Mem :  15690.9 total,   6223.2 free,   7333.1 used,   3113.1 buff/cache     
3000,32,MiB Mem :  15690.9 total,   6216.5 free,   7339.6 used,   3113.3 buff/cache     
3000,32,MiB Mem :  15690.9 total,   6218.3 free,   7337.8 used,   3113.2 buff/cache     
3000,32,MiB Mem :  15690.9 total,   6184.2 free,   7371.7 used,   3113.3 buff/cache     
3000,32,MiB Mem :  15690.9 total,   6197.7 free,   7358.2 used,   3113.4 buff/cache     
3000,32,MiB Mem :  15690.9 total,   6198.2 free,   7357.9 used,   3113.2 buff/cache     
4000,1,MiB Mem :  15690.9 total,   6241.1 free,   7314.8 used,   3113.4 buff/cache     
4000,1,MiB Mem :  15690.9 total,   6279.7 free,   7276.2 used,   3111.5 buff/cache     
4000,1,MiB Mem :  15690.9 total,   6277.5 free,   7278.4 used,   3113.5 buff/cache     
4000,1,MiB Mem :  15690.9 total,   6269.8 free,   7286.1 used,   3113.4 buff/cache     
4000,1,MiB Mem :  15690.9 total,   6281.8 free,   7274.0 used,   3115.5 buff/cache     
